slot_rank,benchmark_id,target_id,scope,metric_contract_status,required_metric_count,core_metric_count,extension_metric_count,prediction_pdb,native_pdb,slot_folder,slot_manifest,requirements_csv,blockers,next_action
11,hist_REQUIRED_MONOMER_011,REQUIRED_MONOMER_011,monomer,awaiting_strict_blind_evidence_files,11,6,5,runs/casp17_historical_benchmark_predictions_current/REQUIRED_MONOMER_011_prediction.pdb,runs/casp17_historical_benchmark_natives_current/REQUIRED_MONOMER_011_native.pdb,casp17/win_tier_metric_surface_contract/11_hist_required_monomer_011,casp17/win_tier_metric_surface_contract/11_hist_required_monomer_011/METRIC_SURFACE.md,casp17/win_tier_metric_surface_contract/11_hist_required_monomer_011/metric_surface_requirements.csv,"strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required,ablation_layer_prediction_pdb_missing,best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,current_casp17_target_must_be_false,leakage_clearance_required,native_pdb_not_found,native_release_date_required_iso_date,operator_clearance_required,other_team_model_used_must_be_false,placeholder_target_id,post_release_information_used_must_be_false,prediction_created_at_required_iso_date,prediction_generated_before_native_release_required,prediction_pdb_not_found,public_template_or_native_used_for_prediction_must_be_false,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric,leakage_clearance_missing_or_not_clear,native_pdb_missing,prediction_pdb_missing","place strict-blind prediction/native PDBs, no-leak provenance, chain/ligand maps, then run official-like metric calculators for model1 and best-of-5"
12,hist_REQUIRED_MONOMER_012,REQUIRED_MONOMER_012,monomer,awaiting_strict_blind_evidence_files,11,6,5,runs/casp17_historical_benchmark_predictions_current/REQUIRED_MONOMER_012_prediction.pdb,runs/casp17_historical_benchmark_natives_current/REQUIRED_MONOMER_012_native.pdb,casp17/win_tier_metric_surface_contract/12_hist_required_monomer_012,casp17/win_tier_metric_surface_contract/12_hist_required_monomer_012/METRIC_SURFACE.md,casp17/win_tier_metric_surface_contract/12_hist_required_monomer_012/metric_surface_requirements.csv,"strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required,ablation_layer_prediction_pdb_missing,best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,current_casp17_target_must_be_false,leakage_clearance_required,native_pdb_not_found,native_release_date_required_iso_date,operator_clearance_required,other_team_model_used_must_be_false,placeholder_target_id,post_release_information_used_must_be_false,prediction_created_at_required_iso_date,prediction_generated_before_native_release_required,prediction_pdb_not_found,public_template_or_native_used_for_prediction_must_be_false,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric,leakage_clearance_missing_or_not_clear,native_pdb_missing,prediction_pdb_missing","place strict-blind prediction/native PDBs, no-leak provenance, chain/ligand maps, then run official-like metric calculators for model1 and best-of-5"
13,hist_REQUIRED_MONOMER_013,REQUIRED_MONOMER_013,monomer,awaiting_strict_blind_evidence_files,11,6,5,runs/casp17_historical_benchmark_predictions_current/REQUIRED_MONOMER_013_prediction.pdb,runs/casp17_historical_benchmark_natives_current/REQUIRED_MONOMER_013_native.pdb,casp17/win_tier_metric_surface_contract/13_hist_required_monomer_013,casp17/win_tier_metric_surface_contract/13_hist_required_monomer_013/METRIC_SURFACE.md,casp17/win_tier_metric_surface_contract/13_hist_required_monomer_013/metric_surface_requirements.csv,"strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required,ablation_layer_prediction_pdb_missing,best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,current_casp17_target_must_be_false,leakage_clearance_required,native_pdb_not_found,native_release_date_required_iso_date,operator_clearance_required,other_team_model_used_must_be_false,placeholder_target_id,post_release_information_used_must_be_false,prediction_created_at_required_iso_date,prediction_generated_before_native_release_required,prediction_pdb_not_found,public_template_or_native_used_for_prediction_must_be_false,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric,leakage_clearance_missing_or_not_clear,native_pdb_missing,prediction_pdb_missing","place strict-blind prediction/native PDBs, no-leak provenance, chain/ligand maps, then run official-like metric calculators for model1 and best-of-5"
14,hist_REQUIRED_MONOMER_014,REQUIRED_MONOMER_014,monomer,awaiting_strict_blind_evidence_files,11,6,5,runs/casp17_historical_benchmark_predictions_current/REQUIRED_MONOMER_014_prediction.pdb,runs/casp17_historical_benchmark_natives_current/REQUIRED_MONOMER_014_native.pdb,casp17/win_tier_metric_surface_contract/14_hist_required_monomer_014,casp17/win_tier_metric_surface_contract/14_hist_required_monomer_014/METRIC_SURFACE.md,casp17/win_tier_metric_surface_contract/14_hist_required_monomer_014/metric_surface_requirements.csv,"strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required,ablation_layer_prediction_pdb_missing,best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,current_casp17_target_must_be_false,leakage_clearance_required,native_pdb_not_found,native_release_date_required_iso_date,operator_clearance_required,other_team_model_used_must_be_false,placeholder_target_id,post_release_information_used_must_be_false,prediction_created_at_required_iso_date,prediction_generated_before_native_release_required,prediction_pdb_not_found,public_template_or_native_used_for_prediction_must_be_false,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric,leakage_clearance_missing_or_not_clear,native_pdb_missing,prediction_pdb_missing","place strict-blind prediction/native PDBs, no-leak provenance, chain/ligand maps, then run official-like metric calculators for model1 and best-of-5"
15,hist_REQUIRED_MONOMER_015,REQUIRED_MONOMER_015,monomer,awaiting_strict_blind_evidence_files,11,6,5,runs/casp17_historical_benchmark_predictions_current/REQUIRED_MONOMER_015_prediction.pdb,runs/casp17_historical_benchmark_natives_current/REQUIRED_MONOMER_015_native.pdb,casp17/win_tier_metric_surface_contract/15_hist_required_monomer_015,casp17/win_tier_metric_surface_contract/15_hist_required_monomer_015/METRIC_SURFACE.md,casp17/win_tier_metric_surface_contract/15_hist_required_monomer_015/metric_surface_requirements.csv,"strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required,ablation_layer_prediction_pdb_missing,best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,current_casp17_target_must_be_false,leakage_clearance_required,native_pdb_not_found,native_release_date_required_iso_date,operator_clearance_required,other_team_model_used_must_be_false,placeholder_target_id,post_release_information_used_must_be_false,prediction_created_at_required_iso_date,prediction_generated_before_native_release_required,prediction_pdb_not_found,public_template_or_native_used_for_prediction_must_be_false,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric,leakage_clearance_missing_or_not_clear,native_pdb_missing,prediction_pdb_missing","place strict-blind prediction/native PDBs, no-leak provenance, chain/ligand maps, then run official-like metric calculators for model1 and best-of-5"
16,hist_REQUIRED_MONOMER_016,REQUIRED_MONOMER_016,monomer,awaiting_strict_blind_evidence_files,11,6,5,runs/casp17_historical_benchmark_predictions_current/REQUIRED_MONOMER_016_prediction.pdb,runs/casp17_historical_benchmark_natives_current/REQUIRED_MONOMER_016_native.pdb,casp17/win_tier_metric_surface_contract/16_hist_required_monomer_016,casp17/win_tier_metric_surface_contract/16_hist_required_monomer_016/METRIC_SURFACE.md,casp17/win_tier_metric_surface_contract/16_hist_required_monomer_016/metric_surface_requirements.csv,"strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required,ablation_layer_prediction_pdb_missing,best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,current_casp17_target_must_be_false,leakage_clearance_required,native_pdb_not_found,native_release_date_required_iso_date,operator_clearance_required,other_team_model_used_must_be_false,placeholder_target_id,post_release_information_used_must_be_false,prediction_created_at_required_iso_date,prediction_generated_before_native_release_required,prediction_pdb_not_found,public_template_or_native_used_for_prediction_must_be_false,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric,leakage_clearance_missing_or_not_clear,native_pdb_missing,prediction_pdb_missing","place strict-blind prediction/native PDBs, no-leak provenance, chain/ligand maps, then run official-like metric calculators for model1 and best-of-5"
17,hist_REQUIRED_MONOMER_017,REQUIRED_MONOMER_017,monomer,awaiting_strict_blind_evidence_files,11,6,5,runs/casp17_historical_benchmark_predictions_current/REQUIRED_MONOMER_017_prediction.pdb,runs/casp17_historical_benchmark_natives_current/REQUIRED_MONOMER_017_native.pdb,casp17/win_tier_metric_surface_contract/17_hist_required_monomer_017,casp17/win_tier_metric_surface_contract/17_hist_required_monomer_017/METRIC_SURFACE.md,casp17/win_tier_metric_surface_contract/17_hist_required_monomer_017/metric_surface_requirements.csv,"strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required,ablation_layer_prediction_pdb_missing,best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,current_casp17_target_must_be_false,leakage_clearance_required,native_pdb_not_found,native_release_date_required_iso_date,operator_clearance_required,other_team_model_used_must_be_false,placeholder_target_id,post_release_information_used_must_be_false,prediction_created_at_required_iso_date,prediction_generated_before_native_release_required,prediction_pdb_not_found,public_template_or_native_used_for_prediction_must_be_false,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric,leakage_clearance_missing_or_not_clear,native_pdb_missing,prediction_pdb_missing","place strict-blind prediction/native PDBs, no-leak provenance, chain/ligand maps, then run official-like metric calculators for model1 and best-of-5"
18,hist_REQUIRED_MONOMER_018,REQUIRED_MONOMER_018,monomer,awaiting_strict_blind_evidence_files,11,6,5,runs/casp17_historical_benchmark_predictions_current/REQUIRED_MONOMER_018_prediction.pdb,runs/casp17_historical_benchmark_natives_current/REQUIRED_MONOMER_018_native.pdb,casp17/win_tier_metric_surface_contract/18_hist_required_monomer_018,casp17/win_tier_metric_surface_contract/18_hist_required_monomer_018/METRIC_SURFACE.md,casp17/win_tier_metric_surface_contract/18_hist_required_monomer_018/metric_surface_requirements.csv,"strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required,ablation_layer_prediction_pdb_missing,best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,current_casp17_target_must_be_false,leakage_clearance_required,native_pdb_not_found,native_release_date_required_iso_date,operator_clearance_required,other_team_model_used_must_be_false,placeholder_target_id,post_release_information_used_must_be_false,prediction_created_at_required_iso_date,prediction_generated_before_native_release_required,prediction_pdb_not_found,public_template_or_native_used_for_prediction_must_be_false,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric,leakage_clearance_missing_or_not_clear,native_pdb_missing,prediction_pdb_missing","place strict-blind prediction/native PDBs, no-leak provenance, chain/ligand maps, then run official-like metric calculators for model1 and best-of-5"
19,hist_REQUIRED_MONOMER_019,REQUIRED_MONOMER_019,monomer,awaiting_strict_blind_evidence_files,11,6,5,runs/casp17_historical_benchmark_predictions_current/REQUIRED_MONOMER_019_prediction.pdb,runs/casp17_historical_benchmark_natives_current/REQUIRED_MONOMER_019_native.pdb,casp17/win_tier_metric_surface_contract/19_hist_required_monomer_019,casp17/win_tier_metric_surface_contract/19_hist_required_monomer_019/METRIC_SURFACE.md,casp17/win_tier_metric_surface_contract/19_hist_required_monomer_019/metric_surface_requirements.csv,"strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required,ablation_layer_prediction_pdb_missing,best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,current_casp17_target_must_be_false,leakage_clearance_required,native_pdb_not_found,native_release_date_required_iso_date,operator_clearance_required,other_team_model_used_must_be_false,placeholder_target_id,post_release_information_used_must_be_false,prediction_created_at_required_iso_date,prediction_generated_before_native_release_required,prediction_pdb_not_found,public_template_or_native_used_for_prediction_must_be_false,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric,leakage_clearance_missing_or_not_clear,native_pdb_missing,prediction_pdb_missing","place strict-blind prediction/native PDBs, no-leak provenance, chain/ligand maps, then run official-like metric calculators for model1 and best-of-5"
20,hist_REQUIRED_MONOMER_020,REQUIRED_MONOMER_020,monomer,awaiting_strict_blind_evidence_files,11,6,5,runs/casp17_historical_benchmark_predictions_current/REQUIRED_MONOMER_020_prediction.pdb,runs/casp17_historical_benchmark_natives_current/REQUIRED_MONOMER_020_native.pdb,casp17/win_tier_metric_surface_contract/20_hist_required_monomer_020,casp17/win_tier_metric_surface_contract/20_hist_required_monomer_020/METRIC_SURFACE.md,casp17/win_tier_metric_surface_contract/20_hist_required_monomer_020/metric_surface_requirements.csv,"strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required,ablation_layer_prediction_pdb_missing,best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,current_casp17_target_must_be_false,leakage_clearance_required,native_pdb_not_found,native_release_date_required_iso_date,operator_clearance_required,other_team_model_used_must_be_false,placeholder_target_id,post_release_information_used_must_be_false,prediction_created_at_required_iso_date,prediction_generated_before_native_release_required,prediction_pdb_not_found,public_template_or_native_used_for_prediction_must_be_false,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric,leakage_clearance_missing_or_not_clear,native_pdb_missing,prediction_pdb_missing","place strict-blind prediction/native PDBs, no-leak provenance, chain/ligand maps, then run official-like metric calculators for model1 and best-of-5"
21,hist_REQUIRED_MONOMER_021,REQUIRED_MONOMER_021,monomer,awaiting_strict_blind_evidence_files,11,6,5,runs/casp17_historical_benchmark_predictions_current/REQUIRED_MONOMER_021_prediction.pdb,runs/casp17_historical_benchmark_natives_current/REQUIRED_MONOMER_021_native.pdb,casp17/win_tier_metric_surface_contract/21_hist_required_monomer_021,casp17/win_tier_metric_surface_contract/21_hist_required_monomer_021/METRIC_SURFACE.md,casp17/win_tier_metric_surface_contract/21_hist_required_monomer_021/metric_surface_requirements.csv,"strict_blind_replacement_identity_required,core_files_required,no_leak_required,ablation_required,calibration_required,ablation_layer_prediction_pdb_missing,best_model_rank_required_1_to_5,best_native_metric_required_numeric,best_score_required_numeric,current_casp17_target_must_be_false,leakage_clearance_required,native_pdb_not_found,native_release_date_required_iso_date,operator_clearance_required,other_team_model_used_must_be_false,placeholder_target_id,post_release_information_used_must_be_false,prediction_created_at_required_iso_date,prediction_generated_before_native_release_required,prediction_pdb_not_found,public_template_or_native_used_for_prediction_must_be_false,selected_model_rank_required_1_to_5,selected_native_metric_required_numeric,selected_score_required_numeric,leakage_clearance_missing_or_not_clear,native_pdb_missing,prediction_pdb_missing","place strict-blind prediction/native PDBs, no-leak provenance, chain/ligand maps, then run official-like metric calculators for model1 and best-of-5"
