metric_row_id,target_id,official_target_id,target_class,metric_name,metric_family,metric_input_contract,metric_status,candidate_pdb,native_path_required,chain_mapping_template_csv,expected_output_json,competitive_proof_eligible,blockers,next_action
02_02_lddt,T1342,T1342,monomer_or_homomer,lDDT,monomer_domain,prediction/native residue mapping,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/T1342TS.pdb,casp17/current_post_native_scoring_scaffold/02_t1342/native_dropzone/T1342_official_native.pdb,casp17/current_post_native_scoring_scaffold/02_t1342/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/02_t1342/metrics/lddt/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
02_03_tm_score,T1342,T1342,monomer_or_homomer,TM-score,monomer_domain,prediction/native chain mapping,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/T1342TS.pdb,casp17/current_post_native_scoring_scaffold/02_t1342/native_dropzone/T1342_official_native.pdb,casp17/current_post_native_scoring_scaffold/02_t1342/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/02_t1342/metrics/tm_score/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
02_04_rmsd,T1342,T1342,monomer_or_homomer,RMSD,geometry,prediction/native atom mapping,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/T1342TS.pdb,casp17/current_post_native_scoring_scaffold/02_t1342/native_dropzone/T1342_official_native.pdb,casp17/current_post_native_scoring_scaffold/02_t1342/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/02_t1342/metrics/rmsd/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
02_05_gdt_ha,T1342,T1342,monomer_or_homomer,GDT_HA,monomer_domain,prediction/native chain mapping,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/T1342TS.pdb,casp17/current_post_native_scoring_scaffold/02_t1342/native_dropzone/T1342_official_native.pdb,casp17/current_post_native_scoring_scaffold/02_t1342/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/02_t1342/metrics/gdt_ha/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
02_06_molprobity,T1342,T1342,monomer_or_homomer,MolProbity,model_quality,prediction structure,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/T1342TS.pdb,casp17/current_post_native_scoring_scaffold/02_t1342/native_dropzone/T1342_official_native.pdb,casp17/current_post_native_scoring_scaffold/02_t1342/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/02_t1342/metrics/molprobity/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
03_01_gdt_ts,H1344,H1344,protein_heteromer_or_complex,GDT_TS,monomer_domain,prediction/native chain mapping,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/H1344TS.pdb,casp17/current_post_native_scoring_scaffold/03_h1344/native_dropzone/H1344_official_native.pdb,casp17/current_post_native_scoring_scaffold/03_h1344/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/03_h1344/metrics/gdt_ts/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
03_02_lddt,H1344,H1344,protein_heteromer_or_complex,lDDT,monomer_domain,prediction/native residue mapping,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/H1344TS.pdb,casp17/current_post_native_scoring_scaffold/03_h1344/native_dropzone/H1344_official_native.pdb,casp17/current_post_native_scoring_scaffold/03_h1344/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/03_h1344/metrics/lddt/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
03_03_tm_score,H1344,H1344,protein_heteromer_or_complex,TM-score,monomer_domain,prediction/native chain mapping,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/H1344TS.pdb,casp17/current_post_native_scoring_scaffold/03_h1344/native_dropzone/H1344_official_native.pdb,casp17/current_post_native_scoring_scaffold/03_h1344/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/03_h1344/metrics/tm_score/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
03_04_rmsd,H1344,H1344,protein_heteromer_or_complex,RMSD,geometry,prediction/native atom mapping,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/H1344TS.pdb,casp17/current_post_native_scoring_scaffold/03_h1344/native_dropzone/H1344_official_native.pdb,casp17/current_post_native_scoring_scaffold/03_h1344/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/03_h1344/metrics/rmsd/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
03_05_gdt_ha,H1344,H1344,protein_heteromer_or_complex,GDT_HA,monomer_domain,prediction/native chain mapping,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/H1344TS.pdb,casp17/current_post_native_scoring_scaffold/03_h1344/native_dropzone/H1344_official_native.pdb,casp17/current_post_native_scoring_scaffold/03_h1344/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/03_h1344/metrics/gdt_ha/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
03_06_molprobity,H1344,H1344,protein_heteromer_or_complex,MolProbity,model_quality,prediction structure,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/H1344TS.pdb,casp17/current_post_native_scoring_scaffold/03_h1344/native_dropzone/H1344_official_native.pdb,casp17/current_post_native_scoring_scaffold/03_h1344/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/03_h1344/metrics/molprobity/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
03_07_dockq,H1344,H1344,protein_heteromer_or_complex,DockQ,complex_interface,protein-protein interface mapping,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/H1344TS.pdb,casp17/current_post_native_scoring_scaffold/03_h1344/native_dropzone/H1344_official_native.pdb,casp17/current_post_native_scoring_scaffold/03_h1344/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/03_h1344/metrics/dockq/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
03_08_ics,H1344,H1344,protein_heteromer_or_complex,ICS,complex_interface,interface contact map,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/H1344TS.pdb,casp17/current_post_native_scoring_scaffold/03_h1344/native_dropzone/H1344_official_native.pdb,casp17/current_post_native_scoring_scaffold/03_h1344/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/03_h1344/metrics/ics/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
03_09_ips,H1344,H1344,protein_heteromer_or_complex,IPS,complex_interface,interface patch similarity,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/H1344TS.pdb,casp17/current_post_native_scoring_scaffold/03_h1344/native_dropzone/H1344_official_native.pdb,casp17/current_post_native_scoring_scaffold/03_h1344/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/03_h1344/metrics/ips/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
04_01_gdt_ts,H2321,H2321,protein_heteromer_or_complex,GDT_TS,monomer_domain,prediction/native chain mapping,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/H2321TS.pdb,casp17/current_post_native_scoring_scaffold/04_h2321/native_dropzone/H2321_official_native.pdb,casp17/current_post_native_scoring_scaffold/04_h2321/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/04_h2321/metrics/gdt_ts/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
04_02_lddt,H2321,H2321,protein_heteromer_or_complex,lDDT,monomer_domain,prediction/native residue mapping,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/H2321TS.pdb,casp17/current_post_native_scoring_scaffold/04_h2321/native_dropzone/H2321_official_native.pdb,casp17/current_post_native_scoring_scaffold/04_h2321/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/04_h2321/metrics/lddt/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
04_03_tm_score,H2321,H2321,protein_heteromer_or_complex,TM-score,monomer_domain,prediction/native chain mapping,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/H2321TS.pdb,casp17/current_post_native_scoring_scaffold/04_h2321/native_dropzone/H2321_official_native.pdb,casp17/current_post_native_scoring_scaffold/04_h2321/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/04_h2321/metrics/tm_score/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
04_04_rmsd,H2321,H2321,protein_heteromer_or_complex,RMSD,geometry,prediction/native atom mapping,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/H2321TS.pdb,casp17/current_post_native_scoring_scaffold/04_h2321/native_dropzone/H2321_official_native.pdb,casp17/current_post_native_scoring_scaffold/04_h2321/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/04_h2321/metrics/rmsd/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
04_05_gdt_ha,H2321,H2321,protein_heteromer_or_complex,GDT_HA,monomer_domain,prediction/native chain mapping,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/H2321TS.pdb,casp17/current_post_native_scoring_scaffold/04_h2321/native_dropzone/H2321_official_native.pdb,casp17/current_post_native_scoring_scaffold/04_h2321/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/04_h2321/metrics/gdt_ha/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
04_06_molprobity,H2321,H2321,protein_heteromer_or_complex,MolProbity,model_quality,prediction structure,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/H2321TS.pdb,casp17/current_post_native_scoring_scaffold/04_h2321/native_dropzone/H2321_official_native.pdb,casp17/current_post_native_scoring_scaffold/04_h2321/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/04_h2321/metrics/molprobity/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
04_07_dockq,H2321,H2321,protein_heteromer_or_complex,DockQ,complex_interface,protein-protein interface mapping,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/H2321TS.pdb,casp17/current_post_native_scoring_scaffold/04_h2321/native_dropzone/H2321_official_native.pdb,casp17/current_post_native_scoring_scaffold/04_h2321/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/04_h2321/metrics/dockq/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
04_08_ics,H2321,H2321,protein_heteromer_or_complex,ICS,complex_interface,interface contact map,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/H2321TS.pdb,casp17/current_post_native_scoring_scaffold/04_h2321/native_dropzone/H2321_official_native.pdb,casp17/current_post_native_scoring_scaffold/04_h2321/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/04_h2321/metrics/ics/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
04_09_ips,H2321,H2321,protein_heteromer_or_complex,IPS,complex_interface,interface patch similarity,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/H2321TS.pdb,casp17/current_post_native_scoring_scaffold/04_h2321/native_dropzone/H2321_official_native.pdb,casp17/current_post_native_scoring_scaffold/04_h2321/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/04_h2321/metrics/ips/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
05_01_gdt_ts,H1346,H1346,protein_heteromer_or_complex,GDT_TS,monomer_domain,prediction/native chain mapping,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/H1346TS.pdb,casp17/current_post_native_scoring_scaffold/05_h1346/native_dropzone/H1346_official_native.pdb,casp17/current_post_native_scoring_scaffold/05_h1346/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/05_h1346/metrics/gdt_ts/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
05_02_lddt,H1346,H1346,protein_heteromer_or_complex,lDDT,monomer_domain,prediction/native residue mapping,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/H1346TS.pdb,casp17/current_post_native_scoring_scaffold/05_h1346/native_dropzone/H1346_official_native.pdb,casp17/current_post_native_scoring_scaffold/05_h1346/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/05_h1346/metrics/lddt/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
05_03_tm_score,H1346,H1346,protein_heteromer_or_complex,TM-score,monomer_domain,prediction/native chain mapping,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/H1346TS.pdb,casp17/current_post_native_scoring_scaffold/05_h1346/native_dropzone/H1346_official_native.pdb,casp17/current_post_native_scoring_scaffold/05_h1346/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/05_h1346/metrics/tm_score/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
05_04_rmsd,H1346,H1346,protein_heteromer_or_complex,RMSD,geometry,prediction/native atom mapping,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/H1346TS.pdb,casp17/current_post_native_scoring_scaffold/05_h1346/native_dropzone/H1346_official_native.pdb,casp17/current_post_native_scoring_scaffold/05_h1346/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/05_h1346/metrics/rmsd/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
05_05_gdt_ha,H1346,H1346,protein_heteromer_or_complex,GDT_HA,monomer_domain,prediction/native chain mapping,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/H1346TS.pdb,casp17/current_post_native_scoring_scaffold/05_h1346/native_dropzone/H1346_official_native.pdb,casp17/current_post_native_scoring_scaffold/05_h1346/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/05_h1346/metrics/gdt_ha/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
05_06_molprobity,H1346,H1346,protein_heteromer_or_complex,MolProbity,model_quality,prediction structure,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/H1346TS.pdb,casp17/current_post_native_scoring_scaffold/05_h1346/native_dropzone/H1346_official_native.pdb,casp17/current_post_native_scoring_scaffold/05_h1346/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/05_h1346/metrics/molprobity/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
05_07_dockq,H1346,H1346,protein_heteromer_or_complex,DockQ,complex_interface,protein-protein interface mapping,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/H1346TS.pdb,casp17/current_post_native_scoring_scaffold/05_h1346/native_dropzone/H1346_official_native.pdb,casp17/current_post_native_scoring_scaffold/05_h1346/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/05_h1346/metrics/dockq/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
05_08_ics,H1346,H1346,protein_heteromer_or_complex,ICS,complex_interface,interface contact map,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/H1346TS.pdb,casp17/current_post_native_scoring_scaffold/05_h1346/native_dropzone/H1346_official_native.pdb,casp17/current_post_native_scoring_scaffold/05_h1346/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/05_h1346/metrics/ics/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
05_09_ips,H1346,H1346,protein_heteromer_or_complex,IPS,complex_interface,interface patch similarity,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/H1346TS.pdb,casp17/current_post_native_scoring_scaffold/05_h1346/native_dropzone/H1346_official_native.pdb,casp17/current_post_native_scoring_scaffold/05_h1346/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/05_h1346/metrics/ips/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
06_01_gdt_ts,H1347,H1347,protein_heteromer_or_complex,GDT_TS,monomer_domain,prediction/native chain mapping,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/H1347TS.pdb,casp17/current_post_native_scoring_scaffold/06_h1347/native_dropzone/H1347_official_native.pdb,casp17/current_post_native_scoring_scaffold/06_h1347/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/06_h1347/metrics/gdt_ts/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
06_02_lddt,H1347,H1347,protein_heteromer_or_complex,lDDT,monomer_domain,prediction/native residue mapping,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/H1347TS.pdb,casp17/current_post_native_scoring_scaffold/06_h1347/native_dropzone/H1347_official_native.pdb,casp17/current_post_native_scoring_scaffold/06_h1347/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/06_h1347/metrics/lddt/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
06_03_tm_score,H1347,H1347,protein_heteromer_or_complex,TM-score,monomer_domain,prediction/native chain mapping,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/H1347TS.pdb,casp17/current_post_native_scoring_scaffold/06_h1347/native_dropzone/H1347_official_native.pdb,casp17/current_post_native_scoring_scaffold/06_h1347/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/06_h1347/metrics/tm_score/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
06_04_rmsd,H1347,H1347,protein_heteromer_or_complex,RMSD,geometry,prediction/native atom mapping,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/H1347TS.pdb,casp17/current_post_native_scoring_scaffold/06_h1347/native_dropzone/H1347_official_native.pdb,casp17/current_post_native_scoring_scaffold/06_h1347/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/06_h1347/metrics/rmsd/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
06_05_gdt_ha,H1347,H1347,protein_heteromer_or_complex,GDT_HA,monomer_domain,prediction/native chain mapping,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/H1347TS.pdb,casp17/current_post_native_scoring_scaffold/06_h1347/native_dropzone/H1347_official_native.pdb,casp17/current_post_native_scoring_scaffold/06_h1347/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/06_h1347/metrics/gdt_ha/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
06_06_molprobity,H1347,H1347,protein_heteromer_or_complex,MolProbity,model_quality,prediction structure,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/H1347TS.pdb,casp17/current_post_native_scoring_scaffold/06_h1347/native_dropzone/H1347_official_native.pdb,casp17/current_post_native_scoring_scaffold/06_h1347/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/06_h1347/metrics/molprobity/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
06_07_dockq,H1347,H1347,protein_heteromer_or_complex,DockQ,complex_interface,protein-protein interface mapping,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/H1347TS.pdb,casp17/current_post_native_scoring_scaffold/06_h1347/native_dropzone/H1347_official_native.pdb,casp17/current_post_native_scoring_scaffold/06_h1347/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/06_h1347/metrics/dockq/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
06_08_ics,H1347,H1347,protein_heteromer_or_complex,ICS,complex_interface,interface contact map,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/H1347TS.pdb,casp17/current_post_native_scoring_scaffold/06_h1347/native_dropzone/H1347_official_native.pdb,casp17/current_post_native_scoring_scaffold/06_h1347/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/06_h1347/metrics/ics/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
06_09_ips,H1347,H1347,protein_heteromer_or_complex,IPS,complex_interface,interface patch similarity,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/H1347TS.pdb,casp17/current_post_native_scoring_scaffold/06_h1347/native_dropzone/H1347_official_native.pdb,casp17/current_post_native_scoring_scaffold/06_h1347/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/06_h1347/metrics/ips/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
07_01_gdt_ts,H1348,H1348,protein_heteromer_or_complex,GDT_TS,monomer_domain,prediction/native chain mapping,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/H1348TS.pdb,casp17/current_post_native_scoring_scaffold/07_h1348/native_dropzone/H1348_official_native.pdb,casp17/current_post_native_scoring_scaffold/07_h1348/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/07_h1348/metrics/gdt_ts/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
07_02_lddt,H1348,H1348,protein_heteromer_or_complex,lDDT,monomer_domain,prediction/native residue mapping,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/H1348TS.pdb,casp17/current_post_native_scoring_scaffold/07_h1348/native_dropzone/H1348_official_native.pdb,casp17/current_post_native_scoring_scaffold/07_h1348/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/07_h1348/metrics/lddt/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
07_03_tm_score,H1348,H1348,protein_heteromer_or_complex,TM-score,monomer_domain,prediction/native chain mapping,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/H1348TS.pdb,casp17/current_post_native_scoring_scaffold/07_h1348/native_dropzone/H1348_official_native.pdb,casp17/current_post_native_scoring_scaffold/07_h1348/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/07_h1348/metrics/tm_score/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
07_04_rmsd,H1348,H1348,protein_heteromer_or_complex,RMSD,geometry,prediction/native atom mapping,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/H1348TS.pdb,casp17/current_post_native_scoring_scaffold/07_h1348/native_dropzone/H1348_official_native.pdb,casp17/current_post_native_scoring_scaffold/07_h1348/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/07_h1348/metrics/rmsd/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
