ligand_id,smiles,molecular_weight,logp,h_donors,h_acceptors,rot_bonds,scaffold
chembl5926013,CC(C)(C)c1nc(-c2cccc(Cl)c2)c(CNC(=O)Nc2cccc3cnccc23)s1,451.00,6.631,2,4,4,O=C(NCc1scnc1-c1ccccc1)Nc1cccc2cnccc12
chembl228451,CC(C)(C)c1ccc(CNC(=S)NCc2ccc(NS(C)(=O)=O)cc2)cc1,405.59,3.520,3,3,6,S=C(NCc1ccccc1)NCc1ccccc1
chembl441472,CC(C)(C)c1ccc(NC(=O)N2CCN(c3ncccc3Cl)CC2)cc1,372.90,4.387,1,3,2,O=C(Nc1ccccc1)N1CCN(c2ccccn2)CC1
chembl2177440,CC(C(=O)NCc1ccc(C(F)(F)F)nc1N1CCC(Cc2ccccc2)CC1)c1ccc(NS(C)(=O)=O)c(F)c1,592.66,5.490,2,5,9,O=C(Cc1ccccc1)NCc1cccnc1N1CCC(Cc2ccccc2)CC1
chembl3314389,CC(C(=O)NCc1ccc(C(F)(F)F)nc1C1CCCCC1)c1ccc(NS(C)(=O)=O)c(F)c1,501.55,5.079,2,4,7,O=C(Cc1ccccc1)NCc1cccnc1C1CCCCC1
chembl3317476,CC(C(=O)NCc1ccc(C(F)(F)F)nc1-c1ccc(F)c(Cl)c1)c1ccc(NS(C)(=O)=O)c(F)c1,547.93,5.490,2,4,7,O=C(Cc1ccccc1)NCc1cccnc1-c1ccccc1
chembl4781687,CC1CCN(c2nc(C(F)(F)F)ccc2CNC(=O)Nc2cccc3[nH]c(=O)ccc23)CC1,459.47,4.500,3,4,4,O=C(NCc1cccnc1N1CCCCC1)Nc1cccc2[nH]c(=O)ccc12
chembl2385220,CC(C(=O)NCc1ccc(C(F)(F)F)nc1OCCC1CCCCN1C(=O)OC(C)(C)C)c1ccc(NS(C)(=O)=O)c(F)c1,646.70,5.589,2,7,10,O=C(Cc1ccccc1)NCc1cccnc1OCCC1CCCCN1
chembl2385246,CC(C(=O)NCc1ccc(C(F)(F)F)nc1OCC1CC1C)c1ccc(NS(C)(=O)=O)c(F)c1,503.52,4.066,2,5,9,O=C(Cc1ccccc1)NCc1cccnc1OCC1CC1
chembl2385248,CC(C(=O)NCc1ccc(C(F)(F)F)nc1OCC1CCC1)c1ccc(NS(C)(=O)=O)c(F)c1,503.52,4.210,2,5,9,O=C(Cc1ccccc1)NCc1cccnc1OCC1CCC1
chembl2385418,CC(C(=O)NCc1ccc(C(F)(F)F)nc1OC1CCC(C(F)(F)F)CC1)c1ccc(NS(C)(=O)=O)c(F)c1,585.54,5.531,2,5,8,O=C(Cc1ccccc1)NCc1cccnc1OC1CCCCC1
chembl323134,CC(C)(C)c1ccc(CNC(=O)Nc2cccc3cnccc23)cc1,333.44,4.854,2,2,3,O=C(NCc1ccccc1)Nc1cccc2cnccc12
chembl3317484,CC(C(=O)NCc1ccc(C(F)(F)F)nc1-c1cccs1)c1ccc(NS(C)(=O)=O)c(F)c1,501.53,4.759,2,5,7,O=C(Cc1ccccc1)NCc1cccnc1-c1cccs1
chembl3629486,CCCN(CCC)c1cc(C(F)(F)F)ccc1CNC(=O)C(C)c1ccc(NS(C)(=O)=O)c(F)c1,517.59,5.262,2,4,11,O=C(Cc1ccccc1)NCc1ccccc1
chembl398338,CC(C)(C)c1ccc2c(c1)CCC2NC(=O)Nc1cccc2[nH]ncc12,348.45,4.669,3,2,2,O=C(Nc1cccc2[nH]ncc12)NC1CCc2ccccc21
chembl4782906,CC(C)(C)c1cc(CNC(=O)Nc2cccc3[nH]ncc23)n(-c2cccc(C(F)(F)F)c2)n1,456.47,5.387,3,4,4,O=C(NCc1ccnn1-c1ccccc1)Nc1cccc2[nH]ncc12
chembl5969459,CC(C(=O)NCc1sc(C(F)(F)F)nc1-c1cccc(Cl)c1)c1cnc(CO)c(F)c1,473.88,4.929,2,5,6,O=C(Cc1cccnc1)NCc1scnc1-c1ccccc1
chembl2385249,CC(C(=O)NCc1ccc(C(F)(F)F)nc1OCC1CCCC1)c1ccc(NS(C)(=O)=O)c(F)c1,517.55,4.600,2,5,9,O=C(Cc1ccccc1)NCc1cccnc1OCC1CCCC1
chembl3393836,CC1CCN(c2nc(C(F)(F)F)ccc2CNC(=O)Nc2cccc3ccncc23)CC1,443.47,5.207,2,4,4,O=C(NCc1cccnc1N1CCCCC1)Nc1cccc2ccncc12
chembl3629494,CC(C(=O)NCc1ccc(C(F)(F)F)cc1N1CCC(C(F)(F)F)CC1)c1ccc(NS(C)(=O)=O)c(F)c1,569.54,5.415,2,4,7,O=C(Cc1ccccc1)NCc1ccccc1N1CCCCC1
chembl3629497,CC(C(=O)NCc1ccc(C(F)(F)F)cc1N1CCC(Cc2ccc(F)cc2)CC1)c1ccc(NS(C)(=O)=O)c(F)c1,609.66,6.234,2,4,9,O=C(Cc1ccccc1)NCc1ccccc1N1CCC(Cc2ccccc2)CC1
chembl4111432,CC1CN(c2ncc(C(O)CO)cc2F)CCN1C(=O)Nc1nc2ccc(Cl)cc2s1,465.94,3.252,3,7,4,O=C(Nc1nc2ccccc2s1)N1CCN(c2ccccn2)CC1
chembl4471708,CN(C)C1(Cc2ccccc2)CCN(c2cc(C(F)(F)F)ccc2CNC(=O)Nc2cccc3ccc(O)cc23)CC1,576.66,7.029,3,4,7,O=C(NCc1ccccc1N1CCC(Cc2ccccc2)CC1)Nc1cccc2ccccc12
chembl5406113,CCCN(CCC)c1nc(C(F)(F)F)ccc1CNC(=O)Nc1cccc2c1ccc(=O)n2CCO,505.54,4.356,3,6,10,O=C(NCc1cccnc1)Nc1cccc2[nH]c(=O)ccc12
chembl17976,C=C(C)C12CC(C)C34OC(Cc5ccccc5)(OC1C3C=C(COC(=O)Cc1ccc(O)c(OC)c1)CC1(O)C(=O)C(C)=CC14)O2,628.72,4.745,2,9,8,O=C(Cc1ccccc1)OCC1=CC2C3OC4(Cc5ccccc5)OC3CCC2(O4)C2C=CC(=O)C2C1
chembl2385223,CC(C(=O)NCc1ccc(C(F)(F)F)nc1OCc1ccccc1)c1ccc(NS(C)(=O)=O)c(F)c1,525.52,4.610,2,5,9,O=C(Cc1ccccc1)NCc1cccnc1OCc1ccccc1
chembl2385224,CC(C(=O)NCc1ccc(C(F)(F)F)nc1OCCc1ccccc1)c1ccc(NS(C)(=O)=O)c(F)c1,539.55,4.652,2,5,10,O=C(Cc1ccccc1)NCc1cccnc1OCCc1ccccc1
chembl3407760,CC(C(=O)NCc1ccc(C(F)(F)Cl)nc1N1CCCCCC1)c1ccc(NS(C)(=O)=O)c(F)c1,533.02,4.681,2,5,8,O=C(Cc1ccccc1)NCc1cccnc1N1CCCCCC1
chembl3627944,CC(C(=O)NCc1ccc(C(F)(F)F)cc1OCc1ccc(F)cc1)c1ccc(NS(C)(=O)=O)c(F)c1,542.53,5.354,2,4,9,O=C(Cc1ccccc1)NCc1ccccc1OCc1ccccc1
chembl3627953,CC(C(=O)NCc1ccc(C(F)(F)F)cc1SCc1ccccc1)c1ccc(NS(C)(=O)=O)c(F)c1,540.60,5.928,2,4,9,O=C(Cc1ccccc1)NCc1ccccc1SCc1ccccc1
chembl3910069,Cc1nnc(-c2cnc(C3=CCN(C(=O)Nc4ccc(C(C)(C)C)cc4)CC3)c(Cl)c2)o1,451.96,5.712,1,5,3,O=C(Nc1ccccc1)N1CC=C(c2ccc(-c3nnco3)cn2)CC1
chembl3770682,CC(C(=O)NCc1ccc(C(F)(F)F)nc1N(Cc1ccccc1)S(=O)(=O)c1ccccc1)c1ccc(NS(C)(=O)=O)c(F)c1,664.70,5.426,2,6,11,O=C(Cc1ccccc1)NCc1cccnc1N(Cc1ccccc1)S(=O)(=O)c1ccccc1
chembl4077829,[H]CC1([H])CCN(c2nc(C(F)(F)F)ccc2CNC(=O)Nc2cccc3c2OCC(=O)N3)CC1,463.46,3.989,3,5,4,O=C1COc2c(cccc2NC(=O)NCc2cccnc2N2CCCCC2)N1
chembl3317497,Cc1ccc(CCc2nc(C(F)(F)F)ccc2CNC(=O)C(C)c2ccc(NS(C)(=O)=O)c(F)c2)cc1,537.58,5.125,2,4,9,O=C(Cc1ccccc1)NCc1cccnc1CCc1ccccc1
chembl3627941,CC(C(=O)NCc1ccc(C(F)(F)F)cc1OC1CCCC1)c1ccc(NS(C)(=O)=O)c(F)c1,502.53,4.957,2,4,8,O=C(Cc1ccccc1)NCc1ccccc1OC1CCCC1
chembl3629228,CC(C(=O)NCc1ccc(C(F)(F)F)cc1C1CCCCC1)c1ccc(NS(C)(=O)=O)c(F)c1,500.56,5.684,2,3,7,O=C(Cc1ccccc1)NCc1ccccc1C1CCCCC1
chembl3629233,CC(C(=O)NCc1ccc(C(F)(F)F)cc1-c1ccc(F)c(Cl)c1)c1ccc(NS(C)(=O)=O)c(F)c1,546.95,6.095,2,3,7,O=C(Cc1ccccc1)NCc1ccccc1-c1ccccc1
chembl5870884,CC(C(=O)NCc1sc(C(C)(C)C)nc1-c1cccc(Cl)c1)c1ccc(CNS(C)(=O)=O)c(F)c1,538.11,5.369,2,5,8,O=C(Cc1ccccc1)NCc1scnc1-c1ccccc1
chembl4787931,Cc1cccc(-n2nc(C(F)(F)F)cc2CNC(=O)Nc2cccc3[nH]c(=O)ccc23)c1,441.41,4.363,3,4,4,O=C(NCc1ccnn1-c1ccccc1)Nc1cccc2[nH]c(=O)ccc12
chembl4553702,CN(C)C1(Cc2ccccc2)CCN(c2cc(C(F)(F)F)ccc2CNC(=O)Nc2cccc3cnccc23)CC1,561.65,6.719,2,4,7,O=C(NCc1ccccc1N1CCC(Cc2ccccc2)CC1)Nc1cccc2cnccc12
