ligand_id,smiles,molecular_weight,logp,h_donors,h_acceptors,rot_bonds,scaffold
chembl1160723,CC(C)NCC(O)c1ccc(O)c(O)c1,211.26,1.129,4,4,4,c1ccccc1
chembl4860528,CCCCCNC(=O)N=C(N)NCCCc1sc(N)nc1C,326.47,1.770,4,4,8,c1cscn1
chembl5201074,CC(NC(=O)N=C(N)NCCCc1ncn[nH]1)c1ccccc1.Cl.Cl,388.30,1.956,4,3,6,O=C(N=CNCCCc1ncn[nH]1)NCc1ccccc1
chembl5206565,NC(=NC(=O)NCc1ccccc1)NCCCc1nnc(N)s1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,561.47,2.134,6,7,6,O=C(N=CNCCCc1nncs1)NCc1ccccc1
chembl5207281,CCCCCNC(=O)N=C(N)NCCCc1nnc(N)s1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,541.48,2.124,6,7,8,c1nncs1
chembl4456301,COc1cc(CCNCC(O)COc2cccc3ccccc23)ccc1OCCCSSCCN,516.73,4.529,3,8,17,c1ccc(CCNCCCOc2cccc3ccccc23)cc1
chembl1263,OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O,415.57,4.107,4,5,16,c1ccc(CCCCOCCCCCCNCCc2ccccc2)cc1
chembl1082501,OC(COc1cccc2[nH]c3ccccc3c12)CN1CCC(Cc2cccnc2)CC1,415.54,4.411,2,4,7,c1cncc(CC2CCN(CCCOc3cccc4[nH]c5ccccc5c34)CC2)c1
chembl36060,CC(C)(C)NCC(O)COc1cccc2[nH]c(O)nc12,279.34,1.396,4,5,5,c1ccc2[nH]cnc2c1
chembl4854418,O=C(NC(c1ccccc1)c1cccc(OCCCCCCCNCC(O)c2ccc(O)c3[nH]c(=O)ccc23)c1)OC1CN2CCC1CC2,668.83,5.796,5,8,16,O=C(NC(c1ccccc1)c1cccc(OCCCCCCCNCCc2cccc3[nH]c(=O)ccc23)c1)OC1CN2CCC1CC2
chembl513389,Cc1ccc(OCC(O)C(C)NC(C)C)c2c1CCC2,277.41,2.610,2,3,6,c1ccc2c(c1)CCC2
chembl388570,CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,303.36,2.058,5,5,6,c1ccc(CCNCCc2ccccc2)cc1
chembl513104,CC(C)(C)NCC(O)COc1cccc2oc3ccccc3c12,313.40,3.714,2,4,5,c1ccc2c(c1)oc1ccccc12
chembl1082500,COc1ccc(CC2CCN(CC(O)COc3cccc4[nH]c5ccccc5c34)CC2)cc1,444.58,5.024,2,4,8,c1ccc(CC2CCN(CCCOc3cccc4[nH]c5ccccc5c34)CC2)cc1
chembl1082827,O=C(c1ccccc1)C1CCN(CC(O)COc2cccc3[nH]c4ccccc4c23)CC1,428.53,4.656,2,4,7,O=C(c1ccccc1)C1CCN(CCCOc2cccc3[nH]c4ccccc4c23)CC1
chembl1945036,CC(CNCc1ccc(CCNCC(O)c2ccc(O)c3[nH]c(=O)sc23)cc1)c1ccccc1,477.63,4.054,5,6,11,O=c1[nH]c2cccc(CCNCCc3ccc(CNCCc4ccccc4)cc3)c2s1
chembl1947157,O=c1[nH]c2c(O)ccc(C(O)CNCCc3cccc(CNCCc4c(Cl)cccc4Cl)c3)c2s1,532.49,4.800,5,6,11,O=c1[nH]c2cccc(CCNCCc3cccc(CNCCc4ccccc4)c3)c2s1
chembl420746,CC(C)(C)NCC(O)COc1cccc2[nH]c(=O)[nH]c12,279.34,0.984,4,4,5,O=c1[nH]c2ccccc2[nH]1
chembl4846536,O=C(NC(c1ccccc1)c1cccc(OCCCCCCCCCNCC(O)c2ccc(O)c3[nH]c(=O)ccc23)c1)OC1CN2CCC1CC2,696.89,6.576,5,8,18,O=C(NC(c1ccccc1)c1cccc(OCCCCCCCCCNCCc2cccc3[nH]c(=O)ccc23)c1)OC1CN2CCC1CC2
chembl4852629,O=C(NC(c1ccccc1)c1cccc(OCCCCCCCCNCC(O)c2ccc(O)c3[nH]c(=O)ccc23)c1)OC1CN2CCC1CC2,682.86,6.186,5,8,17,O=C(NC(c1ccccc1)c1cccc(OCCCCCCCCNCCc2cccc3[nH]c(=O)ccc23)c1)OC1CN2CCC1CC2
chembl3798748,COc1cc(CCNCC(O)c2ccc(O)c3c2OCC(=O)N3)ccc1OCCCc1ccccc1,492.57,3.609,4,7,12,O=C1COc2c(CCNCCc3ccc(OCCCc4ccccc4)cc3)cccc2N1
chembl4465556,CC(C)c1ncc(C(=O)N2CCOC3(CCN(Cc4ccc(F)c(CCNCC(O)c5ccc(O)c6[nH]c(=O)sc56)c4)CC3)C2)s1,669.84,4.387,4,10,10,O=C(c1cncs1)N1CCOC2(CCN(Cc3cccc(CCNCCc4cccc5[nH]c(=O)sc45)c3)CC2)C1
chembl4854091,O=C(NC(c1ccccc1)c1cccc(OCc2ccc(CCNCC(O)c3ccc(O)c4[nH]c(=O)ccc34)cc2)c1)OC1CN2CCC1CC2,688.82,5.588,5,8,13,O=C(NC(c1ccccc1)c1cccc(OCc2ccc(CCNCCc3cccc4[nH]c(=O)ccc34)cc2)c1)OC1CN2CCC1CC2
chembl4878395,O=C(NC(c1ccccc1)c1ccc(OCCCCCCCCCNCC(O)c2ccc(O)c3[nH]c(=O)ccc23)cc1)OC1CN2CCC1CC2,696.89,6.576,5,8,18,O=C(NC(c1ccccc1)c1ccc(OCCCCCCCCCNCCc2cccc3[nH]c(=O)ccc23)cc1)OC1CN2CCC1CC2
chembl2088201,CCc1cc2c(cc1CC)CC(C)(NCC(O)c1ccc(O)c3[nH]c(=O)ccc13)C2,406.53,3.539,4,4,6,O=c1ccc2c(CCNC3Cc4ccccc4C3)cccc2[nH]1
chembl1221804,CN(CCCNCC(O)c1ccc(O)c2[nH]c(=O)sc12)c1ccccc1,373.48,2.445,4,6,8,O=c1[nH]c2cccc(CCNCCCNc3ccccc3)c2s1
chembl122757,Oc1cc2c(cc1O)C(Cc1cc(I)cc(I)c1)NCC2,507.11,3.737,3,3,2,c1ccc(CC2NCCc3ccccc32)cc1
chembl461463,Cc1c[nH]c2cccc(OCC(O)CN3CCN(C(c4ccccc4)c4ccccc4)CC3)c12,455.60,4.623,2,4,8,c1ccc(C(c2ccccc2)N2CCN(CCCOc3cccc4[nH]ccc34)CC2)cc1
chembl4564189,CC(C)NCC(O)COc1ccccc1CCCCNC(=O)NCCCCc1ccccc1OCC(O)CNC(C)C,586.82,3.807,6,7,22,O=C(NCCCCc1ccccc1)NCCCCc1ccccc1
chembl1221590,CC(C)(Cc1ccccc1)NCC(O)c1ccc(O)c2[nH]c(=O)sc12,358.46,2.940,4,5,6,O=c1[nH]c2cccc(CCNCCc3ccccc3)c2s1
chembl3323658,O=c1[nH]c2c(O)ccc(C(O)CNC3CCCC3CCc3ccccc3)c2s1,398.53,3.720,4,5,7,O=c1[nH]c2cccc(CCNC3CCCC3CCc3ccccc3)c2s1
chembl5564549,C=CCc1ccccc1OCC(O)CNCCCc1cn(CCCCc2ccc(OCC(O)CNC(C)C)cc2)nn1,579.79,3.729,4,9,22,c1ccc(CCCCn2cc(CCCNCCCOc3ccccc3)nn2)cc1
chembl4514723,CC(C)NCC(O)COc1ccccc1CCCn1cc(CNCc2cn(CCCc3ccccc3OCC(O)CNC(C)C)nn2)nn1,677.89,2.900,5,13,24,c1ccc(CCCn2cc(CNCc3cn(CCCc4ccccc4)nn3)nn2)cc1
chembl3800400,COc1cc(CCNCC(O)c2ccc(O)c3[nH]c(=O)ccc23)ccc1OCCCc1ccccc1,488.58,4.120,4,6,12,O=c1ccc2c(CCNCCc3ccc(OCCCc4ccccc4)cc3)cccc2[nH]1
chembl1221680,O=c1[nH]c2c(O)ccc(C(O)CNC3CCCC3OCc3ccccc3)c2s1,400.50,3.056,4,6,7,O=c1[nH]c2cccc(CCNC3CCCC3OCc3ccccc3)c2s1
chembl1945038,O=c1[nH]c2c(O)ccc(C(O)CNCCc3cccc(CNCCCc4ccccn4)c3)c2s1,478.62,3.278,5,7,12,O=c1[nH]c2cccc(CCNCCc3cccc(CNCCCc4ccccn4)c3)c2s1
chembl5512435,O=C(NCCCCNCC(O)c1ccc(O)c2[nH]c(=O)ccc12)c1ccc(CNC2(C(=O)OC3CN4CCC3CC4)CCc3ccccc32)cc1,693.85,3.636,6,9,14,O=C(NCCCCNCCc1cccc2[nH]c(=O)ccc12)c1ccc(CNC2(C(=O)OC3CN4CCC3CC4)CCc3ccccc32)cc1
chembl1201237,CC(C)(C)NCC(O)COc1cccc2c1CCCC2=O,291.39,2.333,2,4,5,O=C1CCCc2ccccc21
chembl93298,CC(C)(C)NCC(O)CSc1nc(-c2ccc(C(N)=O)s2)cs1,371.55,2.812,3,7,7,c1csc(-c2cscn2)c1
chembl1221682,O=c1[nH]c2c(O)ccc(C(O)CNC3CCCC3C3CCCC3)c2s1,362.50,3.277,4,5,5,O=c1[nH]c2cccc(CCNC3CCCC3C3CCCC3)c2s1
chembl3039530,O=c1ccc2c(C(O)CNCCCCCCOCC(F)(F)c3ccccc3)ccc(O)c2[nH]1,460.52,4.226,4,5,13,O=c1ccc2c(CCNCCCCCCOCCc3ccccc3)cccc2[nH]1
chembl183921,CC(COc1ccc2c(c1)NC(=O)CO2)NCC(O)COc1cccc2[nH]ccc12,411.46,2.296,4,6,9,O=C1COc2ccc(OCCNCCCOc3cccc4[nH]ccc34)cc2N1
chembl1945031,Cc1cccc2c(CCNCc3cccc(CCNCC(O)c4ccc(O)c5[nH]c(=O)sc45)c3)c[nH]c12,516.67,4.283,6,6,11,O=c1[nH]c2cccc(CCNCCc3cccc(CNCCc4c[nH]c5ccccc45)c3)c2s1
chembl378501,CC(C)(C)NCC(O)COc1cccc2[nH]c(C#N)cc12,287.36,2.167,3,4,5,c1ccc2[nH]ccc2c1
chembl4594173,CC(C)NCC(O)COc1ccccc1CCCC(=O)NCCNC(=O)CCCc1ccccc1OCC(O)CNC(C)C,614.83,2.740,6,8,23,O=C(CCCc1ccccc1)NCCNC(=O)CCCc1ccccc1
