referenced_by_sets,task_id,release_manifest_json,config_json,holdout_name,representative_target_name,source_kind,pdb_path,publication_year,benchmark_inclusion_date,corrected_label_freeze_date,provenance_source,curation_status,notes,provenance_granularity
"set_temporal_core_blind,set_temporal_expanded_ood",idp_release_current,runs/idp_3bead_holdout_v7_sb_rust_2026-03-20_r3_speedopt3_release_manifest.json,config/idp_3bead_benchmark_v7.json,npm1_idr,npm1_idr,synthetic,,2019,2026-03-21,2026-03-21,https://pmc.ncbi.nlm.nih.gov/articles/PMC6934896/,item_publication_curated_web,Dataset-level IDP release anchor derived from the accepted current release manifest for synthetic holdouts. | Auto-generated provisional anchor for branch=llps_lcd. Replace with construct-matched literature/experimental values when available. | Publication year curated from the 2019 NPM1 condensate study describing the mobility of the central IDR as the nearest public construct anchor.,item_publication
"set_temporal_core_blind,set_temporal_expanded_ood",idp_release_current,runs/idp_3bead_holdout_v7_sb_rust_2026-03-20_r3_speedopt3_release_manifest.json,config/idp_3bead_benchmark_v7.json,p27_kid,p27_kid,synthetic,,2005,2026-03-21,2026-03-21,https://doi.org/10.1016/j.jmb.2005.08.074,item_publication_curated_web,Dataset-level IDP release anchor derived from the accepted current release manifest for synthetic holdouts. | Auto-generated provisional anchor for branch=helix_tad. Replace with construct-matched literature/experimental values when available. | Publication year curated from the 2005 p27-KID disorder/solution-NMR study used as a construct-matched anchor.,item_publication
"set_temporal_core_blind,set_temporal_expanded_ood",idp_release_current,runs/idp_3bead_holdout_v7_sb_rust_2026-03-20_r3_speedopt3_release_manifest.json,config/idp_3bead_benchmark_v7.json,page4,page4,synthetic,,2018,2026-03-21,2026-03-21,https://doi.org/10.1016/j.jmb.2018.05.011,item_publication_curated_web,Dataset-level IDP release anchor derived from the accepted current release manifest for synthetic holdouts. | Construct-matched full-length PAGE4 anchor tightened from WT-PAGE4 SAXS <Rg> = 36 +/- 1.1 A and corroborating smFRET distances in Table 1 of the 2018 conformational switching paper. | Non-Rg observables remain proxy-assisted and stay guardrailed separate from ph_low/ph_high follow-up states.,item_publication
"set_temporal_core_blind,set_temporal_expanded_ood",idp_release_current,runs/idp_3bead_holdout_v7_sb_rust_2026-03-20_r3_speedopt3_release_manifest.json,config/idp_3bead_benchmark_v7.json,prion_like_polyq_control,prion_like_polyq_control,synthetic,,,2026-03-21,2026-03-21,runs/idp_3bead_holdout_v7_sb_rust_2026-03-20_r3_speedopt3_release_manifest.json,dataset_control_policy_current,Dataset-level IDP release anchor derived from the accepted current release manifest for synthetic holdouts. | Auto-generated provisional anchor for branch=aggregation_prone. Replace with construct-matched literature/experimental values when available. | Auto-generated provisional anchor for branch=aggregation_prone. Replace with construct-matched literature/experimental values when available. | This holdout is retained as a synthetic control and remains dataset-level until a construct-matched public disorder anchor is identified.,dataset_release
"set_temporal_core_blind,set_temporal_expanded_ood",idp_release_current,runs/idp_3bead_holdout_v7_sb_rust_2026-03-20_r3_speedopt3_release_manifest.json,config/idp_3bead_benchmark_v7.json,sic1_ntd,sic1_ntd,pdb,/home/betelgeuze/분자동역학/data/native/idp_llps/sic1_ntd.pdb,2010,2026-03-21,2026-03-21,https://pmc.ncbi.nlm.nih.gov/articles/PMC2924144/,item_publication_curated_web,Dataset-level IDP release anchor derived from the accepted current release manifest for PDB-backed holdouts. | Range widened modestly for coarse observable tolerance. | Publication year curated from the 2010 Sic1 ensemble/complex study reporting the corresponding global dimension regime.,item_publication
"set_temporal_core_blind,set_temporal_expanded_ood",idp_release_current,runs/idp_3bead_holdout_v7_sb_rust_2026-03-20_r3_speedopt3_release_manifest.json,config/idp_3bead_benchmark_v7.json,tardbp_ctd,tardbp_ctd,pdb,/home/betelgeuze/분자동역학/data/native/idp_llps/tardbp_ctd.pdb,2020,2026-03-21,2026-03-21,https://pmc.ncbi.nlm.nih.gov/articles/PMC7084079/,item_publication_curated_web,Dataset-level IDP release anchor derived from the accepted current release manifest for PDB-backed holdouts. | CTD size anchor tightened from reported disordered-diffusion estimate; remaining observables are still proxy-guided. | Publication year curated from the 2020 TDP-43 CTD phase-separation paper reporting the approximate 2.8 nm diffusion-derived dimension.,item_publication
"set_temporal_core_blind,set_temporal_expanded_ood",idp_release_current,runs/idp_3bead_holdout_v7_sb_rust_2026-03-20_r3_speedopt3_release_manifest.json,config/idp_3bead_benchmark_v7.json,tau_2n4r_fragment,tau_2n4r_fragment,synthetic,,,2026-03-21,2026-03-21,runs/idp_3bead_holdout_v7_sb_rust_2026-03-20_r3_speedopt3_release_manifest.json,manual_item_curation_fragment_anchor_missing,"Dataset-level IDP release anchor derived from the accepted current release manifest for synthetic holdouts. | Auto-generated provisional anchor for branch=aggregation_prone. Replace with construct-matched literature/experimental values when available. | Auto-generated provisional anchor for branch=aggregation_prone. Replace with construct-matched literature/experimental values when available. | Public full-length 2N4R tau anchors exist, but a construct-matched fragment-level public disorder anchor was not accepted in the current conservative sweep; retained dataset-level.",dataset_release
"set_temporal_core_blind,set_temporal_expanded_ood",idp_release_current,runs/idp_3bead_holdout_v7_sb_rust_2026-03-20_r3_speedopt3_release_manifest.json,config/idp_3bead_benchmark_v7.json,tau_k18,tau_k18,pdb,/home/betelgeuze/분자동역학/data/native/idp_llps/tau_k18.pdb,2012,2026-03-21,2026-03-21,https://pubs.rsc.org/en/content/articlehtml/2012/mb/c1mb05275f,item_publication_curated_web,Dataset-level IDP release anchor derived from the accepted current release manifest for PDB-backed holdouts. | Range widened slightly for coarse-grained observable mismatch. | Publication year curated from the 2012 SAXS review table listing tau K18 with Rg = 38 +/- 3 A.,item_publication
"set_temporal_core_blind,set_temporal_expanded_ood",idp_release_current,runs/idp_3bead_holdout_v7_sb_rust_2026-03-20_r3_speedopt3_release_manifest.json,config/idp_3bead_benchmark_v7.json,tia1_lcd,tia1_lcd,synthetic,,2017,2026-03-21,2026-03-21,https://pmc.ncbi.nlm.nih.gov/articles/PMC5576574/,item_publication_curated_web,Dataset-level IDP release anchor derived from the accepted current release manifest for synthetic holdouts. | Auto-generated provisional anchor for branch=llps_lcd. Replace with construct-matched literature/experimental values when available. | Publication year curated from the 2017 TIA1 LCD mutation/phase-separation study used as the nearest public construct anchor.,item_publication
"set_temporal_core_blind,set_temporal_expanded_ood",idp_release_current,runs/idp_3bead_holdout_v7_sb_rust_2026-03-20_r3_speedopt3_release_manifest.json,config/idp_3bead_benchmark_v7.json,tp53_tad,tp53_tad,pdb,/home/betelgeuze/분자동역학/data/native/idp_llps/tp53_tad.pdb,2017,2026-03-21,2026-03-21,https://pmc.ncbi.nlm.nih.gov/articles/PMC5204331/,item_publication_curated_web,Dataset-level IDP release anchor derived from the accepted current release manifest for PDB-backed holdouts. | Construct-matched TAD size anchor tightened; contact/helicity bands remain literature-informed proxy ranges. | Publication year curated from the 2017 p53 transactivation-domain review referenced by the local PMCID hint.,item_publication
