ligand_id,smiles,molecular_weight,logp,h_donors,h_acceptors,rot_bonds,scaffold
chembl1160723,CC(C)NCC(O)c1ccc(O)c(O)c1,211.26,1.129,4,4,4,c1ccccc1
chembl4860528,CCCCCNC(=O)N=C(N)NCCCc1sc(N)nc1C,326.47,1.770,4,4,8,c1cscn1
chembl5201074,CC(NC(=O)N=C(N)NCCCc1ncn[nH]1)c1ccccc1.Cl.Cl,388.30,1.956,4,3,6,O=C(N=CNCCCc1ncn[nH]1)NCc1ccccc1
chembl5206565,NC(=NC(=O)NCc1ccccc1)NCCCc1nnc(N)s1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,561.47,2.134,6,7,6,O=C(N=CNCCCc1nncs1)NCc1ccccc1
chembl5207281,CCCCCNC(=O)N=C(N)NCCCc1nnc(N)s1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,541.48,2.124,6,7,8,c1nncs1
chembl4456301,COc1cc(CCNCC(O)COc2cccc3ccccc23)ccc1OCCCSSCCN,516.73,4.529,3,8,17,c1ccc(CCNCCCOc2cccc3ccccc23)cc1
chembl1263,OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O,415.57,4.107,4,5,16,c1ccc(CCCCOCCCCCCNCCc2ccccc2)cc1
chembl1082501,OC(COc1cccc2[nH]c3ccccc3c12)CN1CCC(Cc2cccnc2)CC1,415.54,4.411,2,4,7,c1cncc(CC2CCN(CCCOc3cccc4[nH]c5ccccc5c34)CC2)c1
chembl36060,CC(C)(C)NCC(O)COc1cccc2[nH]c(O)nc12,279.34,1.396,4,5,5,c1ccc2[nH]cnc2c1
chembl4854418,O=C(NC(c1ccccc1)c1cccc(OCCCCCCCNCC(O)c2ccc(O)c3[nH]c(=O)ccc23)c1)OC1CN2CCC1CC2,668.83,5.796,5,8,16,O=C(NC(c1ccccc1)c1cccc(OCCCCCCCNCCc2cccc3[nH]c(=O)ccc23)c1)OC1CN2CCC1CC2
chembl513389,Cc1ccc(OCC(O)C(C)NC(C)C)c2c1CCC2,277.41,2.610,2,3,6,c1ccc2c(c1)CCC2
chembl388570,CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,303.36,2.058,5,5,6,c1ccc(CCNCCc2ccccc2)cc1
chembl513104,CC(C)(C)NCC(O)COc1cccc2oc3ccccc3c12,313.40,3.714,2,4,5,c1ccc2c(c1)oc1ccccc12
chembl1082500,COc1ccc(CC2CCN(CC(O)COc3cccc4[nH]c5ccccc5c34)CC2)cc1,444.58,5.024,2,4,8,c1ccc(CC2CCN(CCCOc3cccc4[nH]c5ccccc5c34)CC2)cc1
chembl1082827,O=C(c1ccccc1)C1CCN(CC(O)COc2cccc3[nH]c4ccccc4c23)CC1,428.53,4.656,2,4,7,O=C(c1ccccc1)C1CCN(CCCOc2cccc3[nH]c4ccccc4c23)CC1
