target_id,object_id,chain_id,object_folder,model_path,projection_svg_path,viewer_html_path,atom_count,protein_atom_count,residue_count,coordinate_status,manifest_path,readme_path,protein_name,target_folder
H2338,chain_A,A,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_A,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_A/models/H2338_chain_A.pdb,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_A/renders/H2338_chain_A_projection.svg,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_A/viewer.html,1721,1721,228,valid,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_A/metadata/H2338_chain_A_manifest.json,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_A/README.md,Factor XIa antibody complex 9933,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933
H2338,chain_B,B,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_B,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_B/models/H2338_chain_B.pdb,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_B/renders/H2338_chain_B_projection.svg,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_B/viewer.html,1646,1646,215,valid,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_B/metadata/H2338_chain_B_manifest.json,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_B/README.md,Factor XIa antibody complex 9933,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933
H2338,chain_C,C,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_C,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_C/models/H2338_chain_C.pdb,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_C/renders/H2338_chain_C_projection.svg,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_C/viewer.html,2879,2879,369,valid,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_C/metadata/H2338_chain_C_manifest.json,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_C/README.md,Factor XIa antibody complex 9933,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933
H2338,chain_D,D,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_D,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_D/models/H2338_chain_D.pdb,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_D/renders/H2338_chain_D_projection.svg,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_D/viewer.html,1887,1887,238,valid,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_D/metadata/H2338_chain_D_manifest.json,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_D/README.md,Factor XIa antibody complex 9933,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933
H2339,chain_A,A,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_A,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_A/models/H2339_chain_A.pdb,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_A/renders/H2339_chain_A_projection.svg,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_A/viewer.html,1688,1688,223,valid,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_A/metadata/H2339_chain_A_manifest.json,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_A/README.md,Factor XIa antibody complex 7508,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508
H2339,chain_B,B,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_B,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_B/models/H2339_chain_B.pdb,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_B/renders/H2339_chain_B_projection.svg,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_B/viewer.html,1658,1658,214,valid,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_B/metadata/H2339_chain_B_manifest.json,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_B/README.md,Factor XIa antibody complex 7508,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508
H2339,chain_C,C,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_C,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_C/models/H2339_chain_C.pdb,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_C/renders/H2339_chain_C_projection.svg,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_C/viewer.html,2879,2879,369,valid,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_C/metadata/H2339_chain_C_manifest.json,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_C/README.md,Factor XIa antibody complex 7508,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508
H2339,chain_D,D,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_D,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_D/models/H2339_chain_D.pdb,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_D/renders/H2339_chain_D_projection.svg,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_D/viewer.html,1887,1887,238,valid,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_D/metadata/H2339_chain_D_manifest.json,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_D/README.md,Factor XIa antibody complex 7508,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508
H1340,chain_A,A,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_A,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_A/models/H1340_chain_A.pdb,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_A/renders/H1340_chain_A_projection.svg,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_A/viewer.html,3536,3536,462,valid,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_A/metadata/H1340_chain_A_manifest.json,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_A/README.md,Parahenipavirus F protein /antibody complex,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex
H1340,chain_B,B,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_B,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_B/models/H1340_chain_B.pdb,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_B/renders/H1340_chain_B_projection.svg,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_B/viewer.html,917,917,117,valid,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_B/metadata/H1340_chain_B_manifest.json,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_B/README.md,Parahenipavirus F protein /antibody complex,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex
H1340,chain_C,C,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_C,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_C/models/H1340_chain_C.pdb,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_C/renders/H1340_chain_C_projection.svg,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_C/viewer.html,820,820,107,valid,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_C/metadata/H1340_chain_C_manifest.json,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_C/README.md,Parahenipavirus F protein /antibody complex,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex
H1343,chain_A,A,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_A,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_A/models/H1343_chain_A.pdb,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_A/renders/H1343_chain_A_projection.svg,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_A/viewer.html,1777,1777,242,valid,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_A/metadata/H1343_chain_A_manifest.json,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_A/README.md,Hepatitis C Virus sE2 CBH-4G Fab complex,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex
H1343,chain_B,B,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_B,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_B/models/H1343_chain_B.pdb,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_B/renders/H1343_chain_B_projection.svg,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_B/viewer.html,1630,1630,214,valid,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_B/metadata/H1343_chain_B_manifest.json,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_B/README.md,Hepatitis C Virus sE2 CBH-4G Fab complex,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex
H1343,chain_C,C,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_C,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_C/models/H1343_chain_C.pdb,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_C/renders/H1343_chain_C_projection.svg,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_C/viewer.html,2522,2522,317,valid,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_C/metadata/H1343_chain_C_manifest.json,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_C/README.md,Hepatitis C Virus sE2 CBH-4G Fab complex,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex
H2319,chain_A,A,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_A,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_A/models/H2319_chain_A.pdb,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_A/renders/H2319_chain_A_projection.svg,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_A/viewer.html,2155,2155,273,valid,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_A/metadata/H2319_chain_A_manifest.json,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_A/README.md,Human astrovirus VA1 capsid spike - antibody 7C8 complex,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex
H2319,chain_B,B,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_B,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_B/models/H2319_chain_B.pdb,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_B/renders/H2319_chain_B_projection.svg,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_B/viewer.html,907,907,116,valid,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_B/metadata/H2319_chain_B_manifest.json,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_B/README.md,Human astrovirus VA1 capsid spike - antibody 7C8 complex,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex
H2319,chain_C,C,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_C,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_C/models/H2319_chain_C.pdb,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_C/renders/H2319_chain_C_projection.svg,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_C/viewer.html,815,815,108,valid,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_C/metadata/H2319_chain_C_manifest.json,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_C/README.md,Human astrovirus VA1 capsid spike - antibody 7C8 complex,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex
T1342,chain_A,A,casp17/targets_current/T1342_Spike_glycoprotein_ectodomain/objects/chain_A,casp17/targets_current/T1342_Spike_glycoprotein_ectodomain/objects/chain_A/models/T1342_chain_A.pdb,casp17/targets_current/T1342_Spike_glycoprotein_ectodomain/objects/chain_A/renders/T1342_chain_A_projection.svg,casp17/targets_current/T1342_Spike_glycoprotein_ectodomain/objects/chain_A/viewer.html,11192,11192,1455,valid,casp17/targets_current/T1342_Spike_glycoprotein_ectodomain/objects/chain_A/metadata/T1342_chain_A_manifest.json,casp17/targets_current/T1342_Spike_glycoprotein_ectodomain/objects/chain_A/README.md,Spike glycoprotein ectodomain,casp17/targets_current/T1342_Spike_glycoprotein_ectodomain
H1344,chain_A,A,casp17/targets_current/H1344_HSV_gD_HAB72/objects/chain_A,casp17/targets_current/H1344_HSV_gD_HAB72/objects/chain_A/models/H1344_chain_A.pdb,casp17/targets_current/H1344_HSV_gD_HAB72/objects/chain_A/renders/H1344_chain_A_projection.svg,casp17/targets_current/H1344_HSV_gD_HAB72/objects/chain_A/viewer.html,1766,1766,237,valid,casp17/targets_current/H1344_HSV_gD_HAB72/objects/chain_A/metadata/H1344_chain_A_manifest.json,casp17/targets_current/H1344_HSV_gD_HAB72/objects/chain_A/README.md,HSV gD - HAB72,casp17/targets_current/H1344_HSV_gD_HAB72
H1344,chain_B,B,casp17/targets_current/H1344_HSV_gD_HAB72/objects/chain_B,casp17/targets_current/H1344_HSV_gD_HAB72/objects/chain_B/models/H1344_chain_B.pdb,casp17/targets_current/H1344_HSV_gD_HAB72/objects/chain_B/renders/H1344_chain_B_projection.svg,casp17/targets_current/H1344_HSV_gD_HAB72/objects/chain_B/viewer.html,1652,1652,216,valid,casp17/targets_current/H1344_HSV_gD_HAB72/objects/chain_B/metadata/H1344_chain_B_manifest.json,casp17/targets_current/H1344_HSV_gD_HAB72/objects/chain_B/README.md,HSV gD - HAB72,casp17/targets_current/H1344_HSV_gD_HAB72
H1344,chain_C,C,casp17/targets_current/H1344_HSV_gD_HAB72/objects/chain_C,casp17/targets_current/H1344_HSV_gD_HAB72/objects/chain_C/models/H1344_chain_C.pdb,casp17/targets_current/H1344_HSV_gD_HAB72/objects/chain_C/renders/H1344_chain_C_projection.svg,casp17/targets_current/H1344_HSV_gD_HAB72/objects/chain_C/viewer.html,2237,2237,281,valid,casp17/targets_current/H1344_HSV_gD_HAB72/objects/chain_C/metadata/H1344_chain_C_manifest.json,casp17/targets_current/H1344_HSV_gD_HAB72/objects/chain_C/README.md,HSV gD - HAB72,casp17/targets_current/H1344_HSV_gD_HAB72
H2321,chain_A,A,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/objects/chain_A,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/objects/chain_A/models/H2321_chain_A.pdb,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/objects/chain_A/renders/H2321_chain_A_projection.svg,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/objects/chain_A/viewer.html,2155,2155,273,valid,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/objects/chain_A/metadata/H2321_chain_A_manifest.json,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/objects/chain_A/README.md,Human astrovirus VA1 capsid spike - antibody 2A2 complex,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex
H2321,chain_B,B,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/objects/chain_B,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/objects/chain_B/models/H2321_chain_B.pdb,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/objects/chain_B/renders/H2321_chain_B_projection.svg,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/objects/chain_B/viewer.html,946,946,121,valid,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/objects/chain_B/metadata/H2321_chain_B_manifest.json,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/objects/chain_B/README.md,Human astrovirus VA1 capsid spike - antibody 2A2 complex,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex
H2321,chain_C,C,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/objects/chain_C,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/objects/chain_C/models/H2321_chain_C.pdb,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/objects/chain_C/renders/H2321_chain_C_projection.svg,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/objects/chain_C/viewer.html,842,842,108,valid,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/objects/chain_C/metadata/H2321_chain_C_manifest.json,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/objects/chain_C/README.md,Human astrovirus VA1 capsid spike - antibody 2A2 complex,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex
H1346,chain_A,A,casp17/targets_current/H1346_REGN3753_Fab_Fab_complex/objects/chain_A,casp17/targets_current/H1346_REGN3753_Fab_Fab_complex/objects/chain_A/models/H1346_chain_A.pdb,casp17/targets_current/H1346_REGN3753_Fab_Fab_complex/objects/chain_A/renders/H1346_chain_A_projection.svg,casp17/targets_current/H1346_REGN3753_Fab_Fab_complex/objects/chain_A/viewer.html,1716,1716,226,valid,casp17/targets_current/H1346_REGN3753_Fab_Fab_complex/objects/chain_A/metadata/H1346_chain_A_manifest.json,casp17/targets_current/H1346_REGN3753_Fab_Fab_complex/objects/chain_A/README.md,REGN3753 Fab-Fab complex,casp17/targets_current/H1346_REGN3753_Fab_Fab_complex
