target_id,protein_name,protein_key,object_id,chain_id,audit_status,library_status,library_protein_folder,library_object_folder,protein_readme,protein_manifest,object_readme,object_manifest,model_path,projection_svg_path,viewer_html_path,source_object_folder,coordinate_status,protein_atom_count,residue_count,blockers
H2338,Factor XIa antibody complex 9933,H2338_Factor_XIa_antibody_complex_9933,chain_A,A,pass,pass,casp17/protein_object_library_current/H2338_Factor_XIa_antibody_complex_9933,casp17/protein_object_library_current/H2338_Factor_XIa_antibody_complex_9933/chain_A,casp17/protein_object_library_current/H2338_Factor_XIa_antibody_complex_9933/README.md,casp17/protein_object_library_current/H2338_Factor_XIa_antibody_complex_9933/protein_manifest.json,casp17/protein_object_library_current/H2338_Factor_XIa_antibody_complex_9933/chain_A/README.md,casp17/protein_object_library_current/H2338_Factor_XIa_antibody_complex_9933/chain_A/object_manifest.json,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_A/models/H2338_chain_A.pdb,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_A/renders/H2338_chain_A_projection.svg,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_A/viewer.html,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_A,valid,1721,228,
H2338,Factor XIa antibody complex 9933,H2338_Factor_XIa_antibody_complex_9933,chain_B,B,pass,pass,casp17/protein_object_library_current/H2338_Factor_XIa_antibody_complex_9933,casp17/protein_object_library_current/H2338_Factor_XIa_antibody_complex_9933/chain_B,casp17/protein_object_library_current/H2338_Factor_XIa_antibody_complex_9933/README.md,casp17/protein_object_library_current/H2338_Factor_XIa_antibody_complex_9933/protein_manifest.json,casp17/protein_object_library_current/H2338_Factor_XIa_antibody_complex_9933/chain_B/README.md,casp17/protein_object_library_current/H2338_Factor_XIa_antibody_complex_9933/chain_B/object_manifest.json,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_B/models/H2338_chain_B.pdb,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_B/renders/H2338_chain_B_projection.svg,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_B/viewer.html,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_B,valid,1646,215,
H2338,Factor XIa antibody complex 9933,H2338_Factor_XIa_antibody_complex_9933,chain_C,C,pass,pass,casp17/protein_object_library_current/H2338_Factor_XIa_antibody_complex_9933,casp17/protein_object_library_current/H2338_Factor_XIa_antibody_complex_9933/chain_C,casp17/protein_object_library_current/H2338_Factor_XIa_antibody_complex_9933/README.md,casp17/protein_object_library_current/H2338_Factor_XIa_antibody_complex_9933/protein_manifest.json,casp17/protein_object_library_current/H2338_Factor_XIa_antibody_complex_9933/chain_C/README.md,casp17/protein_object_library_current/H2338_Factor_XIa_antibody_complex_9933/chain_C/object_manifest.json,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_C/models/H2338_chain_C.pdb,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_C/renders/H2338_chain_C_projection.svg,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_C/viewer.html,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_C,valid,2879,369,
H2338,Factor XIa antibody complex 9933,H2338_Factor_XIa_antibody_complex_9933,chain_D,D,pass,pass,casp17/protein_object_library_current/H2338_Factor_XIa_antibody_complex_9933,casp17/protein_object_library_current/H2338_Factor_XIa_antibody_complex_9933/chain_D,casp17/protein_object_library_current/H2338_Factor_XIa_antibody_complex_9933/README.md,casp17/protein_object_library_current/H2338_Factor_XIa_antibody_complex_9933/protein_manifest.json,casp17/protein_object_library_current/H2338_Factor_XIa_antibody_complex_9933/chain_D/README.md,casp17/protein_object_library_current/H2338_Factor_XIa_antibody_complex_9933/chain_D/object_manifest.json,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_D/models/H2338_chain_D.pdb,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_D/renders/H2338_chain_D_projection.svg,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_D/viewer.html,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_D,valid,1887,238,
H2339,Factor XIa antibody complex 7508,H2339_Factor_XIa_antibody_complex_7508,chain_A,A,pass,pass,casp17/protein_object_library_current/H2339_Factor_XIa_antibody_complex_7508,casp17/protein_object_library_current/H2339_Factor_XIa_antibody_complex_7508/chain_A,casp17/protein_object_library_current/H2339_Factor_XIa_antibody_complex_7508/README.md,casp17/protein_object_library_current/H2339_Factor_XIa_antibody_complex_7508/protein_manifest.json,casp17/protein_object_library_current/H2339_Factor_XIa_antibody_complex_7508/chain_A/README.md,casp17/protein_object_library_current/H2339_Factor_XIa_antibody_complex_7508/chain_A/object_manifest.json,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_A/models/H2339_chain_A.pdb,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_A/renders/H2339_chain_A_projection.svg,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_A/viewer.html,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_A,valid,1688,223,
H2339,Factor XIa antibody complex 7508,H2339_Factor_XIa_antibody_complex_7508,chain_B,B,pass,pass,casp17/protein_object_library_current/H2339_Factor_XIa_antibody_complex_7508,casp17/protein_object_library_current/H2339_Factor_XIa_antibody_complex_7508/chain_B,casp17/protein_object_library_current/H2339_Factor_XIa_antibody_complex_7508/README.md,casp17/protein_object_library_current/H2339_Factor_XIa_antibody_complex_7508/protein_manifest.json,casp17/protein_object_library_current/H2339_Factor_XIa_antibody_complex_7508/chain_B/README.md,casp17/protein_object_library_current/H2339_Factor_XIa_antibody_complex_7508/chain_B/object_manifest.json,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_B/models/H2339_chain_B.pdb,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_B/renders/H2339_chain_B_projection.svg,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_B/viewer.html,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_B,valid,1658,214,
H2339,Factor XIa antibody complex 7508,H2339_Factor_XIa_antibody_complex_7508,chain_C,C,pass,pass,casp17/protein_object_library_current/H2339_Factor_XIa_antibody_complex_7508,casp17/protein_object_library_current/H2339_Factor_XIa_antibody_complex_7508/chain_C,casp17/protein_object_library_current/H2339_Factor_XIa_antibody_complex_7508/README.md,casp17/protein_object_library_current/H2339_Factor_XIa_antibody_complex_7508/protein_manifest.json,casp17/protein_object_library_current/H2339_Factor_XIa_antibody_complex_7508/chain_C/README.md,casp17/protein_object_library_current/H2339_Factor_XIa_antibody_complex_7508/chain_C/object_manifest.json,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_C/models/H2339_chain_C.pdb,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_C/renders/H2339_chain_C_projection.svg,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_C/viewer.html,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_C,valid,2879,369,
H2339,Factor XIa antibody complex 7508,H2339_Factor_XIa_antibody_complex_7508,chain_D,D,pass,pass,casp17/protein_object_library_current/H2339_Factor_XIa_antibody_complex_7508,casp17/protein_object_library_current/H2339_Factor_XIa_antibody_complex_7508/chain_D,casp17/protein_object_library_current/H2339_Factor_XIa_antibody_complex_7508/README.md,casp17/protein_object_library_current/H2339_Factor_XIa_antibody_complex_7508/protein_manifest.json,casp17/protein_object_library_current/H2339_Factor_XIa_antibody_complex_7508/chain_D/README.md,casp17/protein_object_library_current/H2339_Factor_XIa_antibody_complex_7508/chain_D/object_manifest.json,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_D/models/H2339_chain_D.pdb,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_D/renders/H2339_chain_D_projection.svg,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_D/viewer.html,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_D,valid,1887,238,
H1340,Parahenipavirus F protein /antibody complex,H1340_Parahenipavirus_F_protein_antibody_complex,chain_A,A,pass,pass,casp17/protein_object_library_current/H1340_Parahenipavirus_F_protein_antibody_complex,casp17/protein_object_library_current/H1340_Parahenipavirus_F_protein_antibody_complex/chain_A,casp17/protein_object_library_current/H1340_Parahenipavirus_F_protein_antibody_complex/README.md,casp17/protein_object_library_current/H1340_Parahenipavirus_F_protein_antibody_complex/protein_manifest.json,casp17/protein_object_library_current/H1340_Parahenipavirus_F_protein_antibody_complex/chain_A/README.md,casp17/protein_object_library_current/H1340_Parahenipavirus_F_protein_antibody_complex/chain_A/object_manifest.json,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_A/models/H1340_chain_A.pdb,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_A/renders/H1340_chain_A_projection.svg,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_A/viewer.html,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_A,valid,3536,462,
H1340,Parahenipavirus F protein /antibody complex,H1340_Parahenipavirus_F_protein_antibody_complex,chain_B,B,pass,pass,casp17/protein_object_library_current/H1340_Parahenipavirus_F_protein_antibody_complex,casp17/protein_object_library_current/H1340_Parahenipavirus_F_protein_antibody_complex/chain_B,casp17/protein_object_library_current/H1340_Parahenipavirus_F_protein_antibody_complex/README.md,casp17/protein_object_library_current/H1340_Parahenipavirus_F_protein_antibody_complex/protein_manifest.json,casp17/protein_object_library_current/H1340_Parahenipavirus_F_protein_antibody_complex/chain_B/README.md,casp17/protein_object_library_current/H1340_Parahenipavirus_F_protein_antibody_complex/chain_B/object_manifest.json,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_B/models/H1340_chain_B.pdb,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_B/renders/H1340_chain_B_projection.svg,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_B/viewer.html,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_B,valid,917,117,
H1340,Parahenipavirus F protein /antibody complex,H1340_Parahenipavirus_F_protein_antibody_complex,chain_C,C,pass,pass,casp17/protein_object_library_current/H1340_Parahenipavirus_F_protein_antibody_complex,casp17/protein_object_library_current/H1340_Parahenipavirus_F_protein_antibody_complex/chain_C,casp17/protein_object_library_current/H1340_Parahenipavirus_F_protein_antibody_complex/README.md,casp17/protein_object_library_current/H1340_Parahenipavirus_F_protein_antibody_complex/protein_manifest.json,casp17/protein_object_library_current/H1340_Parahenipavirus_F_protein_antibody_complex/chain_C/README.md,casp17/protein_object_library_current/H1340_Parahenipavirus_F_protein_antibody_complex/chain_C/object_manifest.json,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_C/models/H1340_chain_C.pdb,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_C/renders/H1340_chain_C_projection.svg,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_C/viewer.html,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_C,valid,820,107,
H1343,Hepatitis C Virus sE2 CBH-4G Fab complex,H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex,chain_A,A,pass,pass,casp17/protein_object_library_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex,casp17/protein_object_library_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/chain_A,casp17/protein_object_library_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/README.md,casp17/protein_object_library_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/protein_manifest.json,casp17/protein_object_library_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/chain_A/README.md,casp17/protein_object_library_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/chain_A/object_manifest.json,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_A/models/H1343_chain_A.pdb,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_A/renders/H1343_chain_A_projection.svg,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_A/viewer.html,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_A,valid,1777,242,
H1343,Hepatitis C Virus sE2 CBH-4G Fab complex,H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex,chain_B,B,pass,pass,casp17/protein_object_library_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex,casp17/protein_object_library_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/chain_B,casp17/protein_object_library_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/README.md,casp17/protein_object_library_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/protein_manifest.json,casp17/protein_object_library_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/chain_B/README.md,casp17/protein_object_library_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/chain_B/object_manifest.json,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_B/models/H1343_chain_B.pdb,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_B/renders/H1343_chain_B_projection.svg,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_B/viewer.html,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_B,valid,1630,214,
H1343,Hepatitis C Virus sE2 CBH-4G Fab complex,H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex,chain_C,C,pass,pass,casp17/protein_object_library_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex,casp17/protein_object_library_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/chain_C,casp17/protein_object_library_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/README.md,casp17/protein_object_library_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/protein_manifest.json,casp17/protein_object_library_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/chain_C/README.md,casp17/protein_object_library_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/chain_C/object_manifest.json,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_C/models/H1343_chain_C.pdb,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_C/renders/H1343_chain_C_projection.svg,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_C/viewer.html,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_C,valid,2522,317,
H2319,Human astrovirus VA1 capsid spike - antibody 7C8 complex,H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex,chain_A,A,pass,pass,casp17/protein_object_library_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex,casp17/protein_object_library_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/chain_A,casp17/protein_object_library_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/README.md,casp17/protein_object_library_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/protein_manifest.json,casp17/protein_object_library_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/chain_A/README.md,casp17/protein_object_library_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/chain_A/object_manifest.json,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_A/models/H2319_chain_A.pdb,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_A/renders/H2319_chain_A_projection.svg,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_A/viewer.html,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_A,valid,2155,273,
