target_id,protein_name,object_id,chain_id,review_status,target_folder,object_folder,model_path,projection_svg_path,viewer_html_path,manifest_path,readme_path,atom_count,protein_atom_count,ca_atom_count,residue_count,source_atom_count,source_protein_atom_count,source_residue_count,source_coordinate_status,viewer_local_status,blockers,bbox_x,bbox_y,bbox_z,bbox_diagonal,centroid_x,centroid_y,centroid_z,radius_of_gyration,review_md_path
H2338,Factor XIa antibody complex 9933,chain_D,D,pass,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_D,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_D/models/H2338_chain_D.pdb,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_D/renders/H2338_chain_D_projection.svg,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_D/viewer.html,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_D/metadata/H2338_chain_D_manifest.json,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_D/README.md,1887,1887,238,238,1887,1887,238,valid,pass,,38.52,55.837,36.235,76.906,2.622,-26.237,-4.585,14.763,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_D/review/OBJECT_MODEL_REVIEW.md
H2339,Factor XIa antibody complex 7508,chain_A,A,pass,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_A,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_A/models/H2339_chain_A.pdb,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_A/renders/H2339_chain_A_projection.svg,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_A/viewer.html,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_A/metadata/H2339_chain_A_manifest.json,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_A/README.md,1688,1688,223,223,1688,1688,223,valid,pass,,42.327,45.042,39.897,73.567,26.077,-0.286,-7.378,14.518,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_A/review/OBJECT_MODEL_REVIEW.md
H2339,Factor XIa antibody complex 7508,chain_B,B,pass,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_B,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_B/models/H2339_chain_B.pdb,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_B/renders/H2339_chain_B_projection.svg,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_B/viewer.html,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_B/metadata/H2339_chain_B_manifest.json,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_B/README.md,1658,1658,214,214,1658,1658,214,valid,pass,,54.396,52.33,39.483,85.184,-1.566,29.918,1.554,14.947,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_B/review/OBJECT_MODEL_REVIEW.md
H2339,Factor XIa antibody complex 7508,chain_C,C,pass,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_C,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_C/models/H2339_chain_C.pdb,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_C/renders/H2339_chain_C_projection.svg,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_C/viewer.html,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_C/metadata/H2339_chain_C_manifest.json,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_C/README.md,2879,2879,369,369,2879,2879,369,valid,pass,,56.875,46.647,47.126,87.359,-26.328,-0.897,5.917,17.466,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_C/review/OBJECT_MODEL_REVIEW.md
H2339,Factor XIa antibody complex 7508,chain_D,D,pass,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_D,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_D/models/H2339_chain_D.pdb,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_D/renders/H2339_chain_D_projection.svg,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_D/viewer.html,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_D/metadata/H2339_chain_D_manifest.json,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_D/README.md,1887,1887,238,238,1887,1887,238,valid,pass,,40.712,57.248,40.135,80.905,2.012,-28.741,0.028,15.082,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_D/review/OBJECT_MODEL_REVIEW.md
H1340,Parahenipavirus F protein /antibody complex,chain_A,A,pass,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_A,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_A/models/H1340_chain_A.pdb,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_A/renders/H1340_chain_A_projection.svg,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_A/viewer.html,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_A/metadata/H1340_chain_A_manifest.json,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_A/README.md,3536,3536,462,462,3536,3536,462,valid,pass,,45.937,62.574,64.299,100.797,19.727,2.66,0.275,17.777,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_A/review/OBJECT_MODEL_REVIEW.md
H1340,Parahenipavirus F protein /antibody complex,chain_B,B,pass,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_B,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_B/models/H1340_chain_B.pdb,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_B/renders/H1340_chain_B_projection.svg,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_B/viewer.html,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_B/metadata/H1340_chain_B_manifest.json,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_B/README.md,917,917,117,117,917,917,117,valid,pass,,35.209,42.419,25.841,60.884,-10.546,18.063,-1.69,11.823,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_B/review/OBJECT_MODEL_REVIEW.md
H1340,Parahenipavirus F protein /antibody complex,chain_C,C,pass,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_C,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_C/models/H1340_chain_C.pdb,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_C/renders/H1340_chain_C_projection.svg,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_C/viewer.html,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_C/metadata/H1340_chain_C_manifest.json,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_C/README.md,820,820,107,107,820,820,107,valid,pass,,36.517,33.002,28.402,56.827,-9.567,-21.041,1.452,11.571,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_C/review/OBJECT_MODEL_REVIEW.md
H1343,Hepatitis C Virus sE2 CBH-4G Fab complex,chain_A,A,pass,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_A,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_A/models/H1343_chain_A.pdb,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_A/renders/H1343_chain_A_projection.svg,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_A/viewer.html,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_A/metadata/H1343_chain_A_manifest.json,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_A/README.md,1777,1777,242,242,1777,1777,242,valid,pass,,46.857,49.577,50.829,85.071,23.409,-1.735,-4.775,15.117,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_A/review/OBJECT_MODEL_REVIEW.md
H1343,Hepatitis C Virus sE2 CBH-4G Fab complex,chain_B,B,pass,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_B,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_B/models/H1343_chain_B.pdb,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_B/renders/H1343_chain_B_projection.svg,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_B/viewer.html,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_B/metadata/H1343_chain_B_manifest.json,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_B/README.md,1630,1630,214,214,1630,1630,214,valid,pass,,46.653,27.943,51.664,75.01,-11.719,21.501,1.176,14.606,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_B/review/OBJECT_MODEL_REVIEW.md
H1343,Hepatitis C Virus sE2 CBH-4G Fab complex,chain_C,C,pass,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_C,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_C/models/H1343_chain_C.pdb,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_C/renders/H1343_chain_C_projection.svg,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_C/viewer.html,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_C/metadata/H1343_chain_C_manifest.json,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_C/README.md,2522,2522,317,317,2522,2522,317,valid,pass,,50.847,62.195,45.538,92.344,-11.544,-19.473,3.949,16.473,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_C/review/OBJECT_MODEL_REVIEW.md
H2319,Human astrovirus VA1 capsid spike - antibody 7C8 complex,chain_A,A,pass,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_A,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_A/models/H2319_chain_A.pdb,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_A/renders/H2319_chain_A_projection.svg,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_A/viewer.html,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_A/metadata/H2319_chain_A_manifest.json,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_A/README.md,2155,2155,273,273,2155,2155,273,valid,pass,,51.528,36.65,56.342,84.692,20.004,-1.349,-1.239,15.451,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_A/review/OBJECT_MODEL_REVIEW.md
H2319,Human astrovirus VA1 capsid spike - antibody 7C8 complex,chain_B,B,pass,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_B,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_B/models/H2319_chain_B.pdb,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_B/renders/H2319_chain_B_projection.svg,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_B/viewer.html,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_B/metadata/H2319_chain_B_manifest.json,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_B/README.md,907,907,116,116,907,907,116,valid,pass,,34.449,25.678,32.944,54.142,-10.43,14.766,-2.052,11.538,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_B/review/OBJECT_MODEL_REVIEW.md
H2319,Human astrovirus VA1 capsid spike - antibody 7C8 complex,chain_C,C,pass,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_C,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_C/models/H2319_chain_C.pdb,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_C/renders/H2319_chain_C_projection.svg,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_C/viewer.html,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_C/metadata/H2319_chain_C_manifest.json,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_C/README.md,815,815,108,108,815,815,108,valid,pass,,23.98,24.886,40.056,52.904,-9.756,-13.672,3.468,11.275,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_C/review/OBJECT_MODEL_REVIEW.md
