action_rank,seed_rank,batch_slot,target_id,scope,lane,action_status,target_bundle_folder,action_folder,action_md,request_md,operator_clearance_csv,required_field,blockers,recommended_action,unlocks,verification_command,prediction_pdb,native_pdb
11,4,4,HIST_FSD_1,monomer,calibration,open,casp17/historical_identity_seed_clearance_action_bundle/04_HIST_FSD_1,casp17/historical_identity_seed_clearance_action_bundle/04_HIST_FSD_1/action_011_calibration,casp17/historical_identity_seed_clearance_action_bundle/04_HIST_FSD_1/action_011_calibration/ACTION.md,casp17/historical_identity_seed_clearance_action_bundle/04_HIST_FSD_1/action_011_calibration/calibration_request.md,runs/casp17_historical_identity_seed_operator_clearance_current.csv,selected/best ranks and metric values,"no_leak_evidence_ref_required,leakage_clearance_required,operator_clearance_required,operator_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false,other_team_model_used_must_be_false,post_release_information_used_must_be_false,selected_model_rank_required_1_to_5,best_model_rank_required_1_to_5,selected_native_metric_required_numeric,best_native_metric_required_numeric,selected_score_required_numeric,best_score_required_numeric,ablation_manifest_ref_required",enter model selection and native-metric calibration values,ready_for_cleared_seed_manifest,python3 tools/build_casp17_historical_identity_seed_clearance_workorder.py,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_fsd_1_sample000_step00020.pdb,data/native/fsd_1.pdb
12,4,4,HIST_FSD_1,monomer,ablation,open,casp17/historical_identity_seed_clearance_action_bundle/04_HIST_FSD_1,casp17/historical_identity_seed_clearance_action_bundle/04_HIST_FSD_1/action_012_ablation,casp17/historical_identity_seed_clearance_action_bundle/04_HIST_FSD_1/action_012_ablation/ACTION.md,casp17/historical_identity_seed_clearance_action_bundle/04_HIST_FSD_1/action_012_ablation/ablation_request.md,runs/casp17_historical_identity_seed_operator_clearance_current.csv,ablation_manifest_ref,"no_leak_evidence_ref_required,leakage_clearance_required,operator_clearance_required,operator_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false,other_team_model_used_must_be_false,post_release_information_used_must_be_false,selected_model_rank_required_1_to_5,best_model_rank_required_1_to_5,selected_native_metric_required_numeric,best_native_metric_required_numeric,selected_score_required_numeric,best_score_required_numeric,ablation_manifest_ref_required",provide a local ablation manifest reference,ready_for_cleared_seed_manifest,python3 tools/build_casp17_historical_identity_seed_clearance_workorder.py,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_fsd_1_sample000_step00020.pdb,data/native/fsd_1.pdb
13,5,5,HIST_GB1_MINI,monomer,no_leak_provenance,open,casp17/historical_identity_seed_clearance_action_bundle/05_HIST_GB1_MINI,casp17/historical_identity_seed_clearance_action_bundle/05_HIST_GB1_MINI/action_013_no_leak_provenance,casp17/historical_identity_seed_clearance_action_bundle/05_HIST_GB1_MINI/action_013_no_leak_provenance/ACTION.md,casp17/historical_identity_seed_clearance_action_bundle/05_HIST_GB1_MINI/action_013_no_leak_provenance/no_leak_evidence_request.md,runs/casp17_historical_identity_seed_operator_clearance_current.csv,no_leak_evidence_ref/provenance_controls,"no_leak_evidence_ref_required,leakage_clearance_required,operator_clearance_required,operator_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false,other_team_model_used_must_be_false,post_release_information_used_must_be_false,selected_model_rank_required_1_to_5,best_model_rank_required_1_to_5,selected_native_metric_required_numeric,best_native_metric_required_numeric,selected_score_required_numeric,best_score_required_numeric,ablation_manifest_ref_required","complete no-leak evidence, dates, and leakage controls",ready_for_cleared_seed_manifest,python3 tools/build_casp17_historical_identity_seed_clearance_workorder.py,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_gb1_mini_sample000_step00020.pdb,data/native/gb1_mini.pdb
14,5,5,HIST_GB1_MINI,monomer,calibration,open,casp17/historical_identity_seed_clearance_action_bundle/05_HIST_GB1_MINI,casp17/historical_identity_seed_clearance_action_bundle/05_HIST_GB1_MINI/action_014_calibration,casp17/historical_identity_seed_clearance_action_bundle/05_HIST_GB1_MINI/action_014_calibration/ACTION.md,casp17/historical_identity_seed_clearance_action_bundle/05_HIST_GB1_MINI/action_014_calibration/calibration_request.md,runs/casp17_historical_identity_seed_operator_clearance_current.csv,selected/best ranks and metric values,"no_leak_evidence_ref_required,leakage_clearance_required,operator_clearance_required,operator_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false,other_team_model_used_must_be_false,post_release_information_used_must_be_false,selected_model_rank_required_1_to_5,best_model_rank_required_1_to_5,selected_native_metric_required_numeric,best_native_metric_required_numeric,selected_score_required_numeric,best_score_required_numeric,ablation_manifest_ref_required",enter model selection and native-metric calibration values,ready_for_cleared_seed_manifest,python3 tools/build_casp17_historical_identity_seed_clearance_workorder.py,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_gb1_mini_sample000_step00020.pdb,data/native/gb1_mini.pdb
15,5,5,HIST_GB1_MINI,monomer,ablation,open,casp17/historical_identity_seed_clearance_action_bundle/05_HIST_GB1_MINI,casp17/historical_identity_seed_clearance_action_bundle/05_HIST_GB1_MINI/action_015_ablation,casp17/historical_identity_seed_clearance_action_bundle/05_HIST_GB1_MINI/action_015_ablation/ACTION.md,casp17/historical_identity_seed_clearance_action_bundle/05_HIST_GB1_MINI/action_015_ablation/ablation_request.md,runs/casp17_historical_identity_seed_operator_clearance_current.csv,ablation_manifest_ref,"no_leak_evidence_ref_required,leakage_clearance_required,operator_clearance_required,operator_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false,other_team_model_used_must_be_false,post_release_information_used_must_be_false,selected_model_rank_required_1_to_5,best_model_rank_required_1_to_5,selected_native_metric_required_numeric,best_native_metric_required_numeric,selected_score_required_numeric,best_score_required_numeric,ablation_manifest_ref_required",provide a local ablation manifest reference,ready_for_cleared_seed_manifest,python3 tools/build_casp17_historical_identity_seed_clearance_workorder.py,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_gb1_mini_sample000_step00020.pdb,data/native/gb1_mini.pdb
16,6,6,HIST_PROTEIN_A_BDOMAIN,monomer,no_leak_provenance,open,casp17/historical_identity_seed_clearance_action_bundle/06_HIST_PROTEIN_A_BDOMAIN,casp17/historical_identity_seed_clearance_action_bundle/06_HIST_PROTEIN_A_BDOMAIN/action_016_no_leak_provenance,casp17/historical_identity_seed_clearance_action_bundle/06_HIST_PROTEIN_A_BDOMAIN/action_016_no_leak_provenance/ACTION.md,casp17/historical_identity_seed_clearance_action_bundle/06_HIST_PROTEIN_A_BDOMAIN/action_016_no_leak_provenance/no_leak_evidence_request.md,runs/casp17_historical_identity_seed_operator_clearance_current.csv,no_leak_evidence_ref/provenance_controls,"no_leak_evidence_ref_required,leakage_clearance_required,operator_clearance_required,operator_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false,other_team_model_used_must_be_false,post_release_information_used_must_be_false,selected_model_rank_required_1_to_5,best_model_rank_required_1_to_5,selected_native_metric_required_numeric,best_native_metric_required_numeric,selected_score_required_numeric,best_score_required_numeric,ablation_manifest_ref_required","complete no-leak evidence, dates, and leakage controls",ready_for_cleared_seed_manifest,python3 tools/build_casp17_historical_identity_seed_clearance_workorder.py,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_protein_a_bdomain_sample000_step00020.pdb,data/native/protein_a_bdomain.pdb
17,6,6,HIST_PROTEIN_A_BDOMAIN,monomer,calibration,open,casp17/historical_identity_seed_clearance_action_bundle/06_HIST_PROTEIN_A_BDOMAIN,casp17/historical_identity_seed_clearance_action_bundle/06_HIST_PROTEIN_A_BDOMAIN/action_017_calibration,casp17/historical_identity_seed_clearance_action_bundle/06_HIST_PROTEIN_A_BDOMAIN/action_017_calibration/ACTION.md,casp17/historical_identity_seed_clearance_action_bundle/06_HIST_PROTEIN_A_BDOMAIN/action_017_calibration/calibration_request.md,runs/casp17_historical_identity_seed_operator_clearance_current.csv,selected/best ranks and metric values,"no_leak_evidence_ref_required,leakage_clearance_required,operator_clearance_required,operator_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false,other_team_model_used_must_be_false,post_release_information_used_must_be_false,selected_model_rank_required_1_to_5,best_model_rank_required_1_to_5,selected_native_metric_required_numeric,best_native_metric_required_numeric,selected_score_required_numeric,best_score_required_numeric,ablation_manifest_ref_required",enter model selection and native-metric calibration values,ready_for_cleared_seed_manifest,python3 tools/build_casp17_historical_identity_seed_clearance_workorder.py,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_protein_a_bdomain_sample000_step00020.pdb,data/native/protein_a_bdomain.pdb
18,6,6,HIST_PROTEIN_A_BDOMAIN,monomer,ablation,open,casp17/historical_identity_seed_clearance_action_bundle/06_HIST_PROTEIN_A_BDOMAIN,casp17/historical_identity_seed_clearance_action_bundle/06_HIST_PROTEIN_A_BDOMAIN/action_018_ablation,casp17/historical_identity_seed_clearance_action_bundle/06_HIST_PROTEIN_A_BDOMAIN/action_018_ablation/ACTION.md,casp17/historical_identity_seed_clearance_action_bundle/06_HIST_PROTEIN_A_BDOMAIN/action_018_ablation/ablation_request.md,runs/casp17_historical_identity_seed_operator_clearance_current.csv,ablation_manifest_ref,"no_leak_evidence_ref_required,leakage_clearance_required,operator_clearance_required,operator_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false,other_team_model_used_must_be_false,post_release_information_used_must_be_false,selected_model_rank_required_1_to_5,best_model_rank_required_1_to_5,selected_native_metric_required_numeric,best_native_metric_required_numeric,selected_score_required_numeric,best_score_required_numeric,ablation_manifest_ref_required",provide a local ablation manifest reference,ready_for_cleared_seed_manifest,python3 tools/build_casp17_historical_identity_seed_clearance_workorder.py,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_protein_a_bdomain_sample000_step00020.pdb,data/native/protein_a_bdomain.pdb
19,7,7,HIST_TRP_CAGE,monomer,no_leak_provenance,open,casp17/historical_identity_seed_clearance_action_bundle/07_HIST_TRP_CAGE,casp17/historical_identity_seed_clearance_action_bundle/07_HIST_TRP_CAGE/action_019_no_leak_provenance,casp17/historical_identity_seed_clearance_action_bundle/07_HIST_TRP_CAGE/action_019_no_leak_provenance/ACTION.md,casp17/historical_identity_seed_clearance_action_bundle/07_HIST_TRP_CAGE/action_019_no_leak_provenance/no_leak_evidence_request.md,runs/casp17_historical_identity_seed_operator_clearance_current.csv,no_leak_evidence_ref/provenance_controls,"no_leak_evidence_ref_required,leakage_clearance_required,operator_clearance_required,operator_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false,other_team_model_used_must_be_false,post_release_information_used_must_be_false,selected_model_rank_required_1_to_5,best_model_rank_required_1_to_5,selected_native_metric_required_numeric,best_native_metric_required_numeric,selected_score_required_numeric,best_score_required_numeric,ablation_manifest_ref_required","complete no-leak evidence, dates, and leakage controls",ready_for_cleared_seed_manifest,python3 tools/build_casp17_historical_identity_seed_clearance_workorder.py,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_trp_cage_sample000_step00020.pdb,data/native/trp_cage.pdb
20,7,7,HIST_TRP_CAGE,monomer,calibration,open,casp17/historical_identity_seed_clearance_action_bundle/07_HIST_TRP_CAGE,casp17/historical_identity_seed_clearance_action_bundle/07_HIST_TRP_CAGE/action_020_calibration,casp17/historical_identity_seed_clearance_action_bundle/07_HIST_TRP_CAGE/action_020_calibration/ACTION.md,casp17/historical_identity_seed_clearance_action_bundle/07_HIST_TRP_CAGE/action_020_calibration/calibration_request.md,runs/casp17_historical_identity_seed_operator_clearance_current.csv,selected/best ranks and metric values,"no_leak_evidence_ref_required,leakage_clearance_required,operator_clearance_required,operator_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false,other_team_model_used_must_be_false,post_release_information_used_must_be_false,selected_model_rank_required_1_to_5,best_model_rank_required_1_to_5,selected_native_metric_required_numeric,best_native_metric_required_numeric,selected_score_required_numeric,best_score_required_numeric,ablation_manifest_ref_required",enter model selection and native-metric calibration values,ready_for_cleared_seed_manifest,python3 tools/build_casp17_historical_identity_seed_clearance_workorder.py,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_trp_cage_sample000_step00020.pdb,data/native/trp_cage.pdb
21,7,7,HIST_TRP_CAGE,monomer,ablation,open,casp17/historical_identity_seed_clearance_action_bundle/07_HIST_TRP_CAGE,casp17/historical_identity_seed_clearance_action_bundle/07_HIST_TRP_CAGE/action_021_ablation,casp17/historical_identity_seed_clearance_action_bundle/07_HIST_TRP_CAGE/action_021_ablation/ACTION.md,casp17/historical_identity_seed_clearance_action_bundle/07_HIST_TRP_CAGE/action_021_ablation/ablation_request.md,runs/casp17_historical_identity_seed_operator_clearance_current.csv,ablation_manifest_ref,"no_leak_evidence_ref_required,leakage_clearance_required,operator_clearance_required,operator_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false,other_team_model_used_must_be_false,post_release_information_used_must_be_false,selected_model_rank_required_1_to_5,best_model_rank_required_1_to_5,selected_native_metric_required_numeric,best_native_metric_required_numeric,selected_score_required_numeric,best_score_required_numeric,ablation_manifest_ref_required",provide a local ablation manifest reference,ready_for_cleared_seed_manifest,python3 tools/build_casp17_historical_identity_seed_clearance_workorder.py,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_trp_cage_sample000_step00020.pdb,data/native/trp_cage.pdb
