queue_rank,required_benchmark_id,required_target_id,scope,metric_profile,promotion_status,ready_for_competitive_proof,intake_status,intake_filled_field_count,intake_missing_field_count,file_action_count,file_complete_count,file_ready_apply_count,file_awaiting_count,file_blocked_count,operator_action_count,operator_complete_count,operator_ready_apply_count,operator_awaiting_count,operator_blocked_count,promotion_md,blockers,next_action
11,hist_REQUIRED_MONOMER_011,REQUIRED_MONOMER_011,monomer,"TM,GDT_TS,CA_lDDT",awaiting_file_evidence,false,awaiting_operator_input,0,16,6,0,0,6,0,10,0,0,10,0,casp17/historical_seed_strict_blind_replacement_promotion_gate/11_hist_required_monomer_011/PROMOTION_GATE.md,"file_evidence_missing:6,operator_values_missing:10,intake_status:awaiting_operator_input,intake_missing_fields:16","place required strict-blind evidence files, rerun dropzones/import gate"
12,hist_REQUIRED_MONOMER_012,REQUIRED_MONOMER_012,monomer,"TM,GDT_TS,CA_lDDT",awaiting_file_evidence,false,awaiting_operator_input,0,16,6,0,0,6,0,10,0,0,10,0,casp17/historical_seed_strict_blind_replacement_promotion_gate/12_hist_required_monomer_012/PROMOTION_GATE.md,"file_evidence_missing:6,operator_values_missing:10,intake_status:awaiting_operator_input,intake_missing_fields:16","place required strict-blind evidence files, rerun dropzones/import gate"
13,hist_REQUIRED_MONOMER_013,REQUIRED_MONOMER_013,monomer,"TM,GDT_TS,CA_lDDT",awaiting_file_evidence,false,awaiting_operator_input,0,16,6,0,0,6,0,10,0,0,10,0,casp17/historical_seed_strict_blind_replacement_promotion_gate/13_hist_required_monomer_013/PROMOTION_GATE.md,"file_evidence_missing:6,operator_values_missing:10,intake_status:awaiting_operator_input,intake_missing_fields:16","place required strict-blind evidence files, rerun dropzones/import gate"
14,hist_REQUIRED_MONOMER_014,REQUIRED_MONOMER_014,monomer,"TM,GDT_TS,CA_lDDT",awaiting_file_evidence,false,awaiting_operator_input,0,16,6,0,0,6,0,10,0,0,10,0,casp17/historical_seed_strict_blind_replacement_promotion_gate/14_hist_required_monomer_014/PROMOTION_GATE.md,"file_evidence_missing:6,operator_values_missing:10,intake_status:awaiting_operator_input,intake_missing_fields:16","place required strict-blind evidence files, rerun dropzones/import gate"
15,hist_REQUIRED_MONOMER_015,REQUIRED_MONOMER_015,monomer,"TM,GDT_TS,CA_lDDT",awaiting_file_evidence,false,awaiting_operator_input,0,16,6,0,0,6,0,10,0,0,10,0,casp17/historical_seed_strict_blind_replacement_promotion_gate/15_hist_required_monomer_015/PROMOTION_GATE.md,"file_evidence_missing:6,operator_values_missing:10,intake_status:awaiting_operator_input,intake_missing_fields:16","place required strict-blind evidence files, rerun dropzones/import gate"
16,hist_REQUIRED_MONOMER_016,REQUIRED_MONOMER_016,monomer,"TM,GDT_TS,CA_lDDT",awaiting_file_evidence,false,awaiting_operator_input,0,16,6,0,0,6,0,10,0,0,10,0,casp17/historical_seed_strict_blind_replacement_promotion_gate/16_hist_required_monomer_016/PROMOTION_GATE.md,"file_evidence_missing:6,operator_values_missing:10,intake_status:awaiting_operator_input,intake_missing_fields:16","place required strict-blind evidence files, rerun dropzones/import gate"
17,hist_REQUIRED_MONOMER_017,REQUIRED_MONOMER_017,monomer,"TM,GDT_TS,CA_lDDT",awaiting_file_evidence,false,awaiting_operator_input,0,16,6,0,0,6,0,10,0,0,10,0,casp17/historical_seed_strict_blind_replacement_promotion_gate/17_hist_required_monomer_017/PROMOTION_GATE.md,"file_evidence_missing:6,operator_values_missing:10,intake_status:awaiting_operator_input,intake_missing_fields:16","place required strict-blind evidence files, rerun dropzones/import gate"
18,hist_REQUIRED_MONOMER_018,REQUIRED_MONOMER_018,monomer,"TM,GDT_TS,CA_lDDT",awaiting_file_evidence,false,awaiting_operator_input,0,16,6,0,0,6,0,10,0,0,10,0,casp17/historical_seed_strict_blind_replacement_promotion_gate/18_hist_required_monomer_018/PROMOTION_GATE.md,"file_evidence_missing:6,operator_values_missing:10,intake_status:awaiting_operator_input,intake_missing_fields:16","place required strict-blind evidence files, rerun dropzones/import gate"
19,hist_REQUIRED_MONOMER_019,REQUIRED_MONOMER_019,monomer,"TM,GDT_TS,CA_lDDT",awaiting_file_evidence,false,awaiting_operator_input,0,16,6,0,0,6,0,10,0,0,10,0,casp17/historical_seed_strict_blind_replacement_promotion_gate/19_hist_required_monomer_019/PROMOTION_GATE.md,"file_evidence_missing:6,operator_values_missing:10,intake_status:awaiting_operator_input,intake_missing_fields:16","place required strict-blind evidence files, rerun dropzones/import gate"
20,hist_REQUIRED_MONOMER_020,REQUIRED_MONOMER_020,monomer,"TM,GDT_TS,CA_lDDT",awaiting_file_evidence,false,awaiting_operator_input,0,16,6,0,0,6,0,10,0,0,10,0,casp17/historical_seed_strict_blind_replacement_promotion_gate/20_hist_required_monomer_020/PROMOTION_GATE.md,"file_evidence_missing:6,operator_values_missing:10,intake_status:awaiting_operator_input,intake_missing_fields:16","place required strict-blind evidence files, rerun dropzones/import gate"
21,hist_REQUIRED_MONOMER_021,REQUIRED_MONOMER_021,monomer,"TM,GDT_TS,CA_lDDT",awaiting_file_evidence,false,awaiting_operator_input,0,16,6,0,0,6,0,10,0,0,10,0,casp17/historical_seed_strict_blind_replacement_promotion_gate/21_hist_required_monomer_021/PROMOTION_GATE.md,"file_evidence_missing:6,operator_values_missing:10,intake_status:awaiting_operator_input,intake_missing_fields:16","place required strict-blind evidence files, rerun dropzones/import gate"
22,hist_REQUIRED_MONOMER_022,REQUIRED_MONOMER_022,monomer,"TM,GDT_TS,CA_lDDT",awaiting_file_evidence,false,awaiting_operator_input,0,16,6,0,0,6,0,10,0,0,10,0,casp17/historical_seed_strict_blind_replacement_promotion_gate/22_hist_required_monomer_022/PROMOTION_GATE.md,"file_evidence_missing:6,operator_values_missing:10,intake_status:awaiting_operator_input,intake_missing_fields:16","place required strict-blind evidence files, rerun dropzones/import gate"
23,hist_REQUIRED_MONOMER_023,REQUIRED_MONOMER_023,monomer,"TM,GDT_TS,CA_lDDT",awaiting_file_evidence,false,awaiting_operator_input,0,16,6,0,0,6,0,10,0,0,10,0,casp17/historical_seed_strict_blind_replacement_promotion_gate/23_hist_required_monomer_023/PROMOTION_GATE.md,"file_evidence_missing:6,operator_values_missing:10,intake_status:awaiting_operator_input,intake_missing_fields:16","place required strict-blind evidence files, rerun dropzones/import gate"
24,hist_REQUIRED_MONOMER_024,REQUIRED_MONOMER_024,monomer,"TM,GDT_TS,CA_lDDT",awaiting_file_evidence,false,awaiting_operator_input,0,16,6,0,0,6,0,10,0,0,10,0,casp17/historical_seed_strict_blind_replacement_promotion_gate/24_hist_required_monomer_024/PROMOTION_GATE.md,"file_evidence_missing:6,operator_values_missing:10,intake_status:awaiting_operator_input,intake_missing_fields:16","place required strict-blind evidence files, rerun dropzones/import gate"
25,hist_REQUIRED_MONOMER_025,REQUIRED_MONOMER_025,monomer,"TM,GDT_TS,CA_lDDT",awaiting_file_evidence,false,awaiting_operator_input,0,16,6,0,0,6,0,10,0,0,10,0,casp17/historical_seed_strict_blind_replacement_promotion_gate/25_hist_required_monomer_025/PROMOTION_GATE.md,"file_evidence_missing:6,operator_values_missing:10,intake_status:awaiting_operator_input,intake_missing_fields:16","place required strict-blind evidence files, rerun dropzones/import gate"
26,hist_REQUIRED_COMPLEX_001,REQUIRED_COMPLEX_001,complex,"TM,interface_F1,DockQ,QSbest,IPS",awaiting_file_evidence,false,awaiting_operator_input,0,16,6,0,0,6,0,10,0,0,10,0,casp17/historical_seed_strict_blind_replacement_promotion_gate/26_hist_required_complex_001/PROMOTION_GATE.md,"file_evidence_missing:6,operator_values_missing:10,intake_status:awaiting_operator_input,intake_missing_fields:16","place required strict-blind evidence files, rerun dropzones/import gate"
27,hist_REQUIRED_COMPLEX_002,REQUIRED_COMPLEX_002,complex,"TM,interface_F1,DockQ,QSbest,IPS",awaiting_file_evidence,false,awaiting_operator_input,0,16,6,0,0,6,0,10,0,0,10,0,casp17/historical_seed_strict_blind_replacement_promotion_gate/27_hist_required_complex_002/PROMOTION_GATE.md,"file_evidence_missing:6,operator_values_missing:10,intake_status:awaiting_operator_input,intake_missing_fields:16","place required strict-blind evidence files, rerun dropzones/import gate"
28,hist_REQUIRED_COMPLEX_003,REQUIRED_COMPLEX_003,complex,"TM,interface_F1,DockQ,QSbest,IPS",awaiting_file_evidence,false,awaiting_operator_input,0,16,6,0,0,6,0,10,0,0,10,0,casp17/historical_seed_strict_blind_replacement_promotion_gate/28_hist_required_complex_003/PROMOTION_GATE.md,"file_evidence_missing:6,operator_values_missing:10,intake_status:awaiting_operator_input,intake_missing_fields:16","place required strict-blind evidence files, rerun dropzones/import gate"
29,hist_REQUIRED_COMPLEX_004,REQUIRED_COMPLEX_004,complex,"TM,interface_F1,DockQ,QSbest,IPS",awaiting_file_evidence,false,awaiting_operator_input,0,16,6,0,0,6,0,10,0,0,10,0,casp17/historical_seed_strict_blind_replacement_promotion_gate/29_hist_required_complex_004/PROMOTION_GATE.md,"file_evidence_missing:6,operator_values_missing:10,intake_status:awaiting_operator_input,intake_missing_fields:16","place required strict-blind evidence files, rerun dropzones/import gate"
30,hist_REQUIRED_COMPLEX_005,REQUIRED_COMPLEX_005,complex,"TM,interface_F1,DockQ,QSbest,IPS",awaiting_file_evidence,false,awaiting_operator_input,0,16,6,0,0,6,0,10,0,0,10,0,casp17/historical_seed_strict_blind_replacement_promotion_gate/30_hist_required_complex_005/PROMOTION_GATE.md,"file_evidence_missing:6,operator_values_missing:10,intake_status:awaiting_operator_input,intake_missing_fields:16","place required strict-blind evidence files, rerun dropzones/import gate"
31,hist_REQUIRED_COMPLEX_006,REQUIRED_COMPLEX_006,complex,"TM,interface_F1,DockQ,QSbest,IPS",awaiting_file_evidence,false,awaiting_operator_input,0,16,6,0,0,6,0,10,0,0,10,0,casp17/historical_seed_strict_blind_replacement_promotion_gate/31_hist_required_complex_006/PROMOTION_GATE.md,"file_evidence_missing:6,operator_values_missing:10,intake_status:awaiting_operator_input,intake_missing_fields:16","place required strict-blind evidence files, rerun dropzones/import gate"
32,hist_REQUIRED_COMPLEX_007,REQUIRED_COMPLEX_007,complex,"TM,interface_F1,DockQ,QSbest,IPS",awaiting_file_evidence,false,awaiting_operator_input,0,16,6,0,0,6,0,10,0,0,10,0,casp17/historical_seed_strict_blind_replacement_promotion_gate/32_hist_required_complex_007/PROMOTION_GATE.md,"file_evidence_missing:6,operator_values_missing:10,intake_status:awaiting_operator_input,intake_missing_fields:16","place required strict-blind evidence files, rerun dropzones/import gate"
33,hist_REQUIRED_COMPLEX_008,REQUIRED_COMPLEX_008,complex,"TM,interface_F1,DockQ,QSbest,IPS",awaiting_file_evidence,false,awaiting_operator_input,0,16,6,0,0,6,0,10,0,0,10,0,casp17/historical_seed_strict_blind_replacement_promotion_gate/33_hist_required_complex_008/PROMOTION_GATE.md,"file_evidence_missing:6,operator_values_missing:10,intake_status:awaiting_operator_input,intake_missing_fields:16","place required strict-blind evidence files, rerun dropzones/import gate"
34,hist_REQUIRED_COMPLEX_009,REQUIRED_COMPLEX_009,complex,"TM,interface_F1,DockQ,QSbest,IPS",awaiting_file_evidence,false,awaiting_operator_input,0,16,6,0,0,6,0,10,0,0,10,0,casp17/historical_seed_strict_blind_replacement_promotion_gate/34_hist_required_complex_009/PROMOTION_GATE.md,"file_evidence_missing:6,operator_values_missing:10,intake_status:awaiting_operator_input,intake_missing_fields:16","place required strict-blind evidence files, rerun dropzones/import gate"
35,hist_REQUIRED_COMPLEX_010,REQUIRED_COMPLEX_010,complex,"TM,interface_F1,DockQ,QSbest,IPS",awaiting_file_evidence,false,awaiting_operator_input,0,16,6,0,0,6,0,10,0,0,10,0,casp17/historical_seed_strict_blind_replacement_promotion_gate/35_hist_required_complex_010/PROMOTION_GATE.md,"file_evidence_missing:6,operator_values_missing:10,intake_status:awaiting_operator_input,intake_missing_fields:16","place required strict-blind evidence files, rerun dropzones/import gate"
36,hist_REQUIRED_COMPLEX_011,REQUIRED_COMPLEX_011,complex,"TM,interface_F1,DockQ,QSbest,IPS",awaiting_file_evidence,false,awaiting_operator_input,0,16,6,0,0,6,0,10,0,0,10,0,casp17/historical_seed_strict_blind_replacement_promotion_gate/36_hist_required_complex_011/PROMOTION_GATE.md,"file_evidence_missing:6,operator_values_missing:10,intake_status:awaiting_operator_input,intake_missing_fields:16","place required strict-blind evidence files, rerun dropzones/import gate"
37,hist_REQUIRED_COMPLEX_012,REQUIRED_COMPLEX_012,complex,"TM,interface_F1,DockQ,QSbest,IPS",awaiting_file_evidence,false,awaiting_operator_input,0,16,6,0,0,6,0,10,0,0,10,0,casp17/historical_seed_strict_blind_replacement_promotion_gate/37_hist_required_complex_012/PROMOTION_GATE.md,"file_evidence_missing:6,operator_values_missing:10,intake_status:awaiting_operator_input,intake_missing_fields:16","place required strict-blind evidence files, rerun dropzones/import gate"
38,hist_REQUIRED_COMPLEX_013,REQUIRED_COMPLEX_013,complex,"TM,interface_F1,DockQ,QSbest,IPS",awaiting_file_evidence,false,awaiting_operator_input,0,16,6,0,0,6,0,10,0,0,10,0,casp17/historical_seed_strict_blind_replacement_promotion_gate/38_hist_required_complex_013/PROMOTION_GATE.md,"file_evidence_missing:6,operator_values_missing:10,intake_status:awaiting_operator_input,intake_missing_fields:16","place required strict-blind evidence files, rerun dropzones/import gate"
39,hist_REQUIRED_COMPLEX_014,REQUIRED_COMPLEX_014,complex,"TM,interface_F1,DockQ,QSbest,IPS",awaiting_file_evidence,false,awaiting_operator_input,0,16,6,0,0,6,0,10,0,0,10,0,casp17/historical_seed_strict_blind_replacement_promotion_gate/39_hist_required_complex_014/PROMOTION_GATE.md,"file_evidence_missing:6,operator_values_missing:10,intake_status:awaiting_operator_input,intake_missing_fields:16","place required strict-blind evidence files, rerun dropzones/import gate"
40,hist_REQUIRED_COMPLEX_015,REQUIRED_COMPLEX_015,complex,"TM,interface_F1,DockQ,QSbest,IPS",awaiting_file_evidence,false,awaiting_operator_input,0,16,6,0,0,6,0,10,0,0,10,0,casp17/historical_seed_strict_blind_replacement_promotion_gate/40_hist_required_complex_015/PROMOTION_GATE.md,"file_evidence_missing:6,operator_values_missing:10,intake_status:awaiting_operator_input,intake_missing_fields:16","place required strict-blind evidence files, rerun dropzones/import gate"
