target_id,protein_name,object_id,chain_id,viewer_status,model_path,projection_svg_path,viewer_html_path,atom_count,residue_count,blockers
H2338,Factor XIa antibody complex 9933,chain_B,B,pass,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_B/models/H2338_chain_B.pdb,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_B/renders/H2338_chain_B_projection.svg,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_B/viewer.html,1063,215,
H2338,Factor XIa antibody complex 9933,chain_C,C,pass,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_C/models/H2338_chain_C.pdb,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_C/renders/H2338_chain_C_projection.svg,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_C/viewer.html,1827,369,
H2338,Factor XIa antibody complex 9933,chain_D,D,pass,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_D/models/H2338_chain_D.pdb,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_D/renders/H2338_chain_D_projection.svg,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_D/viewer.html,1166,238,
H2339,Factor XIa antibody complex 7508,chain_A,A,pass,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_A/models/H2339_chain_A.pdb,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_A/renders/H2339_chain_A_projection.svg,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_A/viewer.html,1095,223,
H2339,Factor XIa antibody complex 7508,chain_B,B,pass,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_B/models/H2339_chain_B.pdb,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_B/renders/H2339_chain_B_projection.svg,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_B/viewer.html,1058,214,
H2339,Factor XIa antibody complex 7508,chain_C,C,pass,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_C/models/H2339_chain_C.pdb,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_C/renders/H2339_chain_C_projection.svg,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_C/viewer.html,1827,369,
H2339,Factor XIa antibody complex 7508,chain_D,D,pass,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_D/models/H2339_chain_D.pdb,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_D/renders/H2339_chain_D_projection.svg,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_D/viewer.html,1166,238,
H1340,Parahenipavirus F protein /antibody complex,chain_A,A,pass,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_A/models/H1340_chain_A.pdb,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_A/renders/H1340_chain_A_projection.svg,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_A/viewer.html,2280,462,
H1340,Parahenipavirus F protein /antibody complex,chain_B,B,pass,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_B/models/H1340_chain_B.pdb,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_B/renders/H1340_chain_B_projection.svg,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_B/viewer.html,571,117,
H1340,Parahenipavirus F protein /antibody complex,chain_C,C,pass,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_C/models/H1340_chain_C.pdb,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_C/renders/H1340_chain_C_projection.svg,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_C/viewer.html,525,107,
H1343,Hepatitis C Virus sE2 CBH-4G Fab complex,chain_A,A,pass,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_A/models/H1343_chain_A.pdb,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_A/renders/H1343_chain_A_projection.svg,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_A/viewer.html,1186,242,
H1343,Hepatitis C Virus sE2 CBH-4G Fab complex,chain_B,B,pass,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_B/models/H1343_chain_B.pdb,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_B/renders/H1343_chain_B_projection.svg,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_B/viewer.html,1057,214,
H1343,Hepatitis C Virus sE2 CBH-4G Fab complex,chain_C,C,pass,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_C/models/H1343_chain_C.pdb,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_C/renders/H1343_chain_C_projection.svg,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_C/viewer.html,1561,317,
H2319,Human astrovirus VA1 capsid spike - antibody 7C8 complex,chain_A,A,pass,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_A/models/H2319_chain_A.pdb,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_A/renders/H2319_chain_A_projection.svg,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_A/viewer.html,1340,273,
H2319,Human astrovirus VA1 capsid spike - antibody 7C8 complex,chain_B,B,pass,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_B/models/H2319_chain_B.pdb,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_B/renders/H2319_chain_B_projection.svg,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_B/viewer.html,568,116,
H2319,Human astrovirus VA1 capsid spike - antibody 7C8 complex,chain_C,C,pass,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_C/models/H2319_chain_C.pdb,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_C/renders/H2319_chain_C_projection.svg,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_C/viewer.html,531,108,
T1342,Spike glycoprotein ectodomain,chain_A,A,pass,casp17/targets_current/T1342_Spike_glycoprotein_ectodomain/objects/chain_A/models/T1342_chain_A.pdb,casp17/targets_current/T1342_Spike_glycoprotein_ectodomain/objects/chain_A/renders/T1342_chain_A_projection.svg,casp17/targets_current/T1342_Spike_glycoprotein_ectodomain/objects/chain_A/viewer.html,7155,1455,
H1344,HSV gD - HAB72,chain_A,A,pass,casp17/targets_current/H1344_HSV_gD_HAB72/objects/chain_A/models/H1344_chain_A.pdb,casp17/targets_current/H1344_HSV_gD_HAB72/objects/chain_A/renders/H1344_chain_A_projection.svg,casp17/targets_current/H1344_HSV_gD_HAB72/objects/chain_A/viewer.html,1162,237,
H1344,HSV gD - HAB72,chain_B,B,pass,casp17/targets_current/H1344_HSV_gD_HAB72/objects/chain_B/models/H1344_chain_B.pdb,casp17/targets_current/H1344_HSV_gD_HAB72/objects/chain_B/renders/H1344_chain_B_projection.svg,casp17/targets_current/H1344_HSV_gD_HAB72/objects/chain_B/viewer.html,1065,216,
H1344,HSV gD - HAB72,chain_C,C,pass,casp17/targets_current/H1344_HSV_gD_HAB72/objects/chain_C/models/H1344_chain_C.pdb,casp17/targets_current/H1344_HSV_gD_HAB72/objects/chain_C/renders/H1344_chain_C_projection.svg,casp17/targets_current/H1344_HSV_gD_HAB72/objects/chain_C/viewer.html,1394,281,
H2321,Human astrovirus VA1 capsid spike - antibody 2A2 complex,chain_A,A,pass,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/objects/chain_A/models/H2321_chain_A.pdb,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/objects/chain_A/renders/H2321_chain_A_projection.svg,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/objects/chain_A/viewer.html,1340,273,
H2321,Human astrovirus VA1 capsid spike - antibody 2A2 complex,chain_B,B,pass,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/objects/chain_B/models/H2321_chain_B.pdb,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/objects/chain_B/renders/H2321_chain_B_projection.svg,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/objects/chain_B/viewer.html,592,121,
H2321,Human astrovirus VA1 capsid spike - antibody 2A2 complex,chain_C,C,pass,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/objects/chain_C/models/H2321_chain_C.pdb,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/objects/chain_C/renders/H2321_chain_C_projection.svg,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/objects/chain_C/viewer.html,530,108,
H1346,REGN3753 Fab-Fab complex,chain_A,A,pass,casp17/targets_current/H1346_REGN3753_Fab_Fab_complex/objects/chain_A/models/H1346_chain_A.pdb,casp17/targets_current/H1346_REGN3753_Fab_Fab_complex/objects/chain_A/renders/H1346_chain_A_projection.svg,casp17/targets_current/H1346_REGN3753_Fab_Fab_complex/objects/chain_A/viewer.html,1113,226,
H1346,REGN3753 Fab-Fab complex,chain_B,B,pass,casp17/targets_current/H1346_REGN3753_Fab_Fab_complex/objects/chain_B/models/H1346_chain_B.pdb,casp17/targets_current/H1346_REGN3753_Fab_Fab_complex/objects/chain_B/renders/H1346_chain_B_projection.svg,casp17/targets_current/H1346_REGN3753_Fab_Fab_complex/objects/chain_B/viewer.html,1056,214,
H1346,REGN3753 Fab-Fab complex,chain_C,C,pass,casp17/targets_current/H1346_REGN3753_Fab_Fab_complex/objects/chain_C/models/H1346_chain_C.pdb,casp17/targets_current/H1346_REGN3753_Fab_Fab_complex/objects/chain_C/renders/H1346_chain_C_projection.svg,casp17/targets_current/H1346_REGN3753_Fab_Fab_complex/objects/chain_C/viewer.html,1131,230,
H1346,REGN3753 Fab-Fab complex,chain_D,D,pass,casp17/targets_current/H1346_REGN3753_Fab_Fab_complex/objects/chain_D/models/H1346_chain_D.pdb,casp17/targets_current/H1346_REGN3753_Fab_Fab_complex/objects/chain_D/renders/H1346_chain_D_projection.svg,casp17/targets_current/H1346_REGN3753_Fab_Fab_complex/objects/chain_D/viewer.html,1063,215,
H1347,REGN15499 Fab-Fab complex,chain_A,A,pass,casp17/targets_current/H1347_REGN15499_Fab_Fab_complex/objects/chain_A/models/H1347_chain_A.pdb,casp17/targets_current/H1347_REGN15499_Fab_Fab_complex/objects/chain_A/renders/H1347_chain_A_projection.svg,casp17/targets_current/H1347_REGN15499_Fab_Fab_complex/objects/chain_A/viewer.html,1092,222,
H1347,REGN15499 Fab-Fab complex,chain_B,B,pass,casp17/targets_current/H1347_REGN15499_Fab_Fab_complex/objects/chain_B/models/H1347_chain_B.pdb,casp17/targets_current/H1347_REGN15499_Fab_Fab_complex/objects/chain_B/renders/H1347_chain_B_projection.svg,casp17/targets_current/H1347_REGN15499_Fab_Fab_complex/objects/chain_B/viewer.html,1057,214,
H1347,REGN15499 Fab-Fab complex,chain_C,C,pass,casp17/targets_current/H1347_REGN15499_Fab_Fab_complex/objects/chain_C/models/H1347_chain_C.pdb,casp17/targets_current/H1347_REGN15499_Fab_Fab_complex/objects/chain_C/renders/H1347_chain_C_projection.svg,casp17/targets_current/H1347_REGN15499_Fab_Fab_complex/objects/chain_C/viewer.html,1109,226,
H1347,REGN15499 Fab-Fab complex,chain_D,D,pass,casp17/targets_current/H1347_REGN15499_Fab_Fab_complex/objects/chain_D/models/H1347_chain_D.pdb,casp17/targets_current/H1347_REGN15499_Fab_Fab_complex/objects/chain_D/renders/H1347_chain_D_projection.svg,casp17/targets_current/H1347_REGN15499_Fab_Fab_complex/objects/chain_D/viewer.html,1053,214,
H1348,gp130 antibody complex,chain_A,A,pass,casp17/targets_current/H1348_gp130_antibody_complex/objects/chain_A/models/H1348_chain_A.pdb,casp17/targets_current/H1348_gp130_antibody_complex/objects/chain_A/renders/H1348_chain_A_projection.svg,casp17/targets_current/H1348_gp130_antibody_complex/objects/chain_A/viewer.html,2959,597,
H1348,gp130 antibody complex,chain_B,B,pass,casp17/targets_current/H1348_gp130_antibody_complex/objects/chain_B/models/H1348_chain_B.pdb,casp17/targets_current/H1348_gp130_antibody_complex/objects/chain_B/renders/H1348_chain_B_projection.svg,casp17/targets_current/H1348_gp130_antibody_complex/objects/chain_B/viewer.html,1090,222,
H1348,gp130 antibody complex,chain_C,C,pass,casp17/targets_current/H1348_gp130_antibody_complex/objects/chain_C/models/H1348_chain_C.pdb,casp17/targets_current/H1348_gp130_antibody_complex/objects/chain_C/renders/H1348_chain_C_projection.svg,casp17/targets_current/H1348_gp130_antibody_complex/objects/chain_C/viewer.html,1063,215,
H1349,gp130 antibody complex,chain_A,A,pass,casp17/targets_current/H1349_gp130_antibody_complex/objects/chain_A/models/H1349_chain_A.pdb,casp17/targets_current/H1349_gp130_antibody_complex/objects/chain_A/renders/H1349_chain_A_projection.svg,casp17/targets_current/H1349_gp130_antibody_complex/objects/chain_A/viewer.html,2959,597,
H1349,gp130 antibody complex,chain_B,B,pass,casp17/targets_current/H1349_gp130_antibody_complex/objects/chain_B/models/H1349_chain_B.pdb,casp17/targets_current/H1349_gp130_antibody_complex/objects/chain_B/renders/H1349_chain_B_projection.svg,casp17/targets_current/H1349_gp130_antibody_complex/objects/chain_B/viewer.html,1079,219,
H1349,gp130 antibody complex,chain_C,C,pass,casp17/targets_current/H1349_gp130_antibody_complex/objects/chain_C/models/H1349_chain_C.pdb,casp17/targets_current/H1349_gp130_antibody_complex/objects/chain_C/renders/H1349_chain_C_projection.svg,casp17/targets_current/H1349_gp130_antibody_complex/objects/chain_C/viewer.html,1056,214,
H1354,hemagglutinin/antibody,chain_A,A,pass,casp17/targets_current/H1354_hemagglutinin_antibody/objects/chain_A/models/H1354_chain_A.pdb,casp17/targets_current/H1354_hemagglutinin_antibody/objects/chain_A/renders/H1354_chain_A_projection.svg,casp17/targets_current/H1354_hemagglutinin_antibody/objects/chain_A/viewer.html,494,494,
H1354,hemagglutinin/antibody,chain_B,B,pass,casp17/targets_current/H1354_hemagglutinin_antibody/objects/chain_B/models/H1354_chain_B.pdb,casp17/targets_current/H1354_hemagglutinin_antibody/objects/chain_B/renders/H1354_chain_B_projection.svg,casp17/targets_current/H1354_hemagglutinin_antibody/objects/chain_B/viewer.html,120,120,
H1354,hemagglutinin/antibody,chain_C,C,pass,casp17/targets_current/H1354_hemagglutinin_antibody/objects/chain_C/models/H1354_chain_C.pdb,casp17/targets_current/H1354_hemagglutinin_antibody/objects/chain_C/renders/H1354_chain_C_projection.svg,casp17/targets_current/H1354_hemagglutinin_antibody/objects/chain_C/viewer.html,112,112,
H1355,hemagglutinin/antibody,chain_A,A,pass,casp17/targets_current/H1355_hemagglutinin_antibody/objects/chain_A/models/H1355_chain_A.pdb,casp17/targets_current/H1355_hemagglutinin_antibody/objects/chain_A/renders/H1355_chain_A_projection.svg,casp17/targets_current/H1355_hemagglutinin_antibody/objects/chain_A/viewer.html,488,488,
H1355,hemagglutinin/antibody,chain_B,B,pass,casp17/targets_current/H1355_hemagglutinin_antibody/objects/chain_B/models/H1355_chain_B.pdb,casp17/targets_current/H1355_hemagglutinin_antibody/objects/chain_B/renders/H1355_chain_B_projection.svg,casp17/targets_current/H1355_hemagglutinin_antibody/objects/chain_B/viewer.html,114,114,
H1355,hemagglutinin/antibody,chain_C,C,pass,casp17/targets_current/H1355_hemagglutinin_antibody/objects/chain_C/models/H1355_chain_C.pdb,casp17/targets_current/H1355_hemagglutinin_antibody/objects/chain_C/renders/H1355_chain_C_projection.svg,casp17/targets_current/H1355_hemagglutinin_antibody/objects/chain_C/viewer.html,106,106,
H2332,Fab 047-09_1A02 binding influenza virus H1 HA,chain_A,A,pass,casp17/targets_current/H2332_Fab_047_09_1A02_binding_influenza_virus_H1_HA/objects/chain_A/models/H2332_chain_A.pdb,casp17/targets_current/H2332_Fab_047_09_1A02_binding_influenza_virus_H1_HA/objects/chain_A/renders/H2332_chain_A_projection.svg,casp17/targets_current/H2332_Fab_047_09_1A02_binding_influenza_virus_H1_HA/objects/chain_A/viewer.html,104,104,
H2332,Fab 047-09_1A02 binding influenza virus H1 HA,chain_B,B,pass,casp17/targets_current/H2332_Fab_047_09_1A02_binding_influenza_virus_H1_HA/objects/chain_B/models/H2332_chain_B.pdb,casp17/targets_current/H2332_Fab_047_09_1A02_binding_influenza_virus_H1_HA/objects/chain_B/renders/H2332_chain_B_projection.svg,casp17/targets_current/H2332_Fab_047_09_1A02_binding_influenza_virus_H1_HA/objects/chain_B/viewer.html,119,119,
H2332,Fab 047-09_1A02 binding influenza virus H1 HA,chain_C,C,pass,casp17/targets_current/H2332_Fab_047_09_1A02_binding_influenza_virus_H1_HA/objects/chain_C/models/H2332_chain_C.pdb,casp17/targets_current/H2332_Fab_047_09_1A02_binding_influenza_virus_H1_HA/objects/chain_C/renders/H2332_chain_C_projection.svg,casp17/targets_current/H2332_Fab_047_09_1A02_binding_influenza_virus_H1_HA/objects/chain_C/viewer.html,160,160,
H2332,Fab 047-09_1A02 binding influenza virus H1 HA,chain_D,D,pass,casp17/targets_current/H2332_Fab_047_09_1A02_binding_influenza_virus_H1_HA/objects/chain_D/models/H2332_chain_D.pdb,casp17/targets_current/H2332_Fab_047_09_1A02_binding_influenza_virus_H1_HA/objects/chain_D/renders/H2332_chain_D_projection.svg,casp17/targets_current/H2332_Fab_047_09_1A02_binding_influenza_virus_H1_HA/objects/chain_D/viewer.html,321,321,
