Target;Type;Res;Oligo.State;Entry Date; Server Exp.;Human Exp.;QA Exp.;Cancellation Date;Description
H2321;Prot;502;A2B2C2;2026-05-20;2026-05-23;2026-06-03;2026-06-06;-;Human astrovirus VA1 capsid spike - antibody 2A2 complex
H1346;Prot;885;UNK;2026-05-21;2026-05-24;2026-06-04;2026-06-07;-;REGN3753 Fab-Fab complex
H1347;Prot;876;UNK;2026-05-21;2026-05-24;2026-06-04;2026-06-07;-;REGN15499 Fab-Fab complex
R2345;NucA;64;A1;2026-05-21;2026-05-23;2026-06-04;-;-;R10C03
H1348;Prot;1034;UNK;2026-05-22;2026-05-25;2026-06-05;2026-06-08;-;gp130 antibody complex
H1349;Prot;1030;UNK;2026-05-22;2026-05-25;2026-06-05;2026-06-08;-;gp130 antibody complex
H1354;Prot;726;UNK;2026-05-25;2026-05-28;2026-06-08;2026-06-11;-;hemagglutinin/antibody
H1355;Prot;708;UNK;2026-05-25;2026-05-28;2026-06-08;2026-06-11;-;hemagglutinin/antibody
R2350;NucA;389;A1;2026-05-25;2026-05-27;2026-06-08;-;-;Tetrahymena Ribozyme C7.2 mutant RNA
H1356;Prot;590;UNK;2026-05-26;2026-05-29;2026-06-09;2026-06-12;-;A0A517IGU2, A0A517I5H8
R2351;NucA;389;A1;2026-05-26;2026-05-28;2026-06-09;-;-;Tetrahymena Ribozyme R1 mutant RNA
T1357;Prot;196;UNK;2026-05-26;2026-05-29;2026-06-09;2026-06-12;-;A7XX72_BP234
H1359;Prot;2336;UNK;2026-05-27;2026-05-30;2026-06-10;2026-06-13;-;A0AB35JLN2, A0AAE5SBF7, A0A2S4JD57, A0A0Q0BBX2, A0A1A6E3L8, A0ABT2VBN8
H2335;Prot;1820;A1B1C1D1E1;2026-05-27;2026-05-30;2026-06-10;2026-06-13;-;HCMV Merlin gHgLgO-Fab complex
R2352;NucA;389;A1;2026-05-27;2026-05-29;2026-06-10;-;-;Tetrahymena Ribozyme IC3 mutant RNA
T1358;Prot;151;UNK;2026-05-27;2026-05-30;2026-06-10;2026-06-13;-;A7XXF0_BP234
H1360;Prot;1558;UNK;2026-05-28;2026-05-31;2026-06-11;2026-06-14;-;P69905, P68871
R2353;NucA;394;A1;2026-05-28;2026-05-30;2026-06-11;-;-;Tetrahymena Ribozyme Vc2 mutant RNA
T1361;Prot;123;UNK;2026-05-28;2026-05-31;2026-06-11;2026-06-14;-;ProteinMPNN mutated bromodomain of PF3D7_1033700 (PfBDP1-BRD); Q8IJ72
H1362;Prot;1836;UNK;2026-05-29;2026-06-01;2026-06-12;2026-06-15;-;HCMV with a FAB
T1363;Prot;170;UNK;2026-05-29;2026-06-01;2026-06-12;2026-06-15;-;O36551
H2340;Prot;686;A3B3C3;2026-06-01;2026-06-04;2026-06-15;2026-06-18;-;Parahenipavirus F protein /antibody complex
H2343;Prot;773;A1B1C1;2026-06-01;2026-06-04;2026-06-15;2026-06-18;-;Hepatitis C Virus sE2 CBH-4G Fab complex
R2365;NucA/Ligand;60;A1;2026-06-01;2026-06-03;2026-06-15;-;-;RNA-GTP complex
T1364;Prot;86;UNK;2026-06-01;2026-06-04;2026-06-15;2026-06-18;-;A0A178UXU6
