target_id,protein_name,object_id,chain_id,folder_audit_status,target_folder,object_folder,model_path,projection_svg_path,viewer_html_path,manifest_path,readme_path,atom_count,protein_atom_count,residue_count,chain_ids,coordinate_status,blockers
H1343,Hepatitis C Virus sE2 CBH-4G Fab complex,chain_A,A,pass,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_A,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_A/models/H1343_chain_A.pdb,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_A/renders/H1343_chain_A_projection.svg,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_A/viewer.html,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_A/metadata/H1343_chain_A_manifest.json,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_A/README.md,1186,1186,242,A,valid,
H1343,Hepatitis C Virus sE2 CBH-4G Fab complex,chain_B,B,pass,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_B,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_B/models/H1343_chain_B.pdb,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_B/renders/H1343_chain_B_projection.svg,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_B/viewer.html,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_B/metadata/H1343_chain_B_manifest.json,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_B/README.md,1057,1057,214,B,valid,
H1343,Hepatitis C Virus sE2 CBH-4G Fab complex,chain_C,C,pass,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_C,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_C/models/H1343_chain_C.pdb,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_C/renders/H1343_chain_C_projection.svg,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_C/viewer.html,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_C/metadata/H1343_chain_C_manifest.json,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_C/README.md,1561,1561,317,C,valid,
H2319,Human astrovirus VA1 capsid spike - antibody 7C8 complex,chain_A,A,pass,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_A,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_A/models/H2319_chain_A.pdb,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_A/renders/H2319_chain_A_projection.svg,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_A/viewer.html,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_A/metadata/H2319_chain_A_manifest.json,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_A/README.md,1340,1340,273,A,valid,
H2319,Human astrovirus VA1 capsid spike - antibody 7C8 complex,chain_B,B,pass,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_B,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_B/models/H2319_chain_B.pdb,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_B/renders/H2319_chain_B_projection.svg,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_B/viewer.html,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_B/metadata/H2319_chain_B_manifest.json,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_B/README.md,568,568,116,B,valid,
H2319,Human astrovirus VA1 capsid spike - antibody 7C8 complex,chain_C,C,pass,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_C,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_C/models/H2319_chain_C.pdb,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_C/renders/H2319_chain_C_projection.svg,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_C/viewer.html,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_C/metadata/H2319_chain_C_manifest.json,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_C/README.md,531,531,108,C,valid,
T1342,Spike glycoprotein ectodomain,chain_A,A,pass,casp17/targets_current/T1342_Spike_glycoprotein_ectodomain,casp17/targets_current/T1342_Spike_glycoprotein_ectodomain/objects/chain_A,casp17/targets_current/T1342_Spike_glycoprotein_ectodomain/objects/chain_A/models/T1342_chain_A.pdb,casp17/targets_current/T1342_Spike_glycoprotein_ectodomain/objects/chain_A/renders/T1342_chain_A_projection.svg,casp17/targets_current/T1342_Spike_glycoprotein_ectodomain/objects/chain_A/viewer.html,casp17/targets_current/T1342_Spike_glycoprotein_ectodomain/objects/chain_A/metadata/T1342_chain_A_manifest.json,casp17/targets_current/T1342_Spike_glycoprotein_ectodomain/objects/chain_A/README.md,7155,7155,1455,A,valid,
H1344,HSV gD - HAB72,chain_A,A,pass,casp17/targets_current/H1344_HSV_gD_HAB72,casp17/targets_current/H1344_HSV_gD_HAB72/objects/chain_A,casp17/targets_current/H1344_HSV_gD_HAB72/objects/chain_A/models/H1344_chain_A.pdb,casp17/targets_current/H1344_HSV_gD_HAB72/objects/chain_A/renders/H1344_chain_A_projection.svg,casp17/targets_current/H1344_HSV_gD_HAB72/objects/chain_A/viewer.html,casp17/targets_current/H1344_HSV_gD_HAB72/objects/chain_A/metadata/H1344_chain_A_manifest.json,casp17/targets_current/H1344_HSV_gD_HAB72/objects/chain_A/README.md,1162,1162,237,A,valid,
H1344,HSV gD - HAB72,chain_B,B,pass,casp17/targets_current/H1344_HSV_gD_HAB72,casp17/targets_current/H1344_HSV_gD_HAB72/objects/chain_B,casp17/targets_current/H1344_HSV_gD_HAB72/objects/chain_B/models/H1344_chain_B.pdb,casp17/targets_current/H1344_HSV_gD_HAB72/objects/chain_B/renders/H1344_chain_B_projection.svg,casp17/targets_current/H1344_HSV_gD_HAB72/objects/chain_B/viewer.html,casp17/targets_current/H1344_HSV_gD_HAB72/objects/chain_B/metadata/H1344_chain_B_manifest.json,casp17/targets_current/H1344_HSV_gD_HAB72/objects/chain_B/README.md,1065,1065,216,B,valid,
H1344,HSV gD - HAB72,chain_C,C,pass,casp17/targets_current/H1344_HSV_gD_HAB72,casp17/targets_current/H1344_HSV_gD_HAB72/objects/chain_C,casp17/targets_current/H1344_HSV_gD_HAB72/objects/chain_C/models/H1344_chain_C.pdb,casp17/targets_current/H1344_HSV_gD_HAB72/objects/chain_C/renders/H1344_chain_C_projection.svg,casp17/targets_current/H1344_HSV_gD_HAB72/objects/chain_C/viewer.html,casp17/targets_current/H1344_HSV_gD_HAB72/objects/chain_C/metadata/H1344_chain_C_manifest.json,casp17/targets_current/H1344_HSV_gD_HAB72/objects/chain_C/README.md,1394,1394,281,C,valid,
H2321,Human astrovirus VA1 capsid spike - antibody 2A2 complex,chain_A,A,pass,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/objects/chain_A,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/objects/chain_A/models/H2321_chain_A.pdb,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/objects/chain_A/renders/H2321_chain_A_projection.svg,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/objects/chain_A/viewer.html,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/objects/chain_A/metadata/H2321_chain_A_manifest.json,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/objects/chain_A/README.md,1340,1340,273,A,valid,
H2321,Human astrovirus VA1 capsid spike - antibody 2A2 complex,chain_B,B,pass,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/objects/chain_B,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/objects/chain_B/models/H2321_chain_B.pdb,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/objects/chain_B/renders/H2321_chain_B_projection.svg,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/objects/chain_B/viewer.html,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/objects/chain_B/metadata/H2321_chain_B_manifest.json,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/objects/chain_B/README.md,592,592,121,B,valid,
H2321,Human astrovirus VA1 capsid spike - antibody 2A2 complex,chain_C,C,pass,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/objects/chain_C,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/objects/chain_C/models/H2321_chain_C.pdb,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/objects/chain_C/renders/H2321_chain_C_projection.svg,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/objects/chain_C/viewer.html,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/objects/chain_C/metadata/H2321_chain_C_manifest.json,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/objects/chain_C/README.md,530,530,108,C,valid,
H1346,REGN3753 Fab-Fab complex,chain_A,A,pass,casp17/targets_current/H1346_REGN3753_Fab_Fab_complex,casp17/targets_current/H1346_REGN3753_Fab_Fab_complex/objects/chain_A,casp17/targets_current/H1346_REGN3753_Fab_Fab_complex/objects/chain_A/models/H1346_chain_A.pdb,casp17/targets_current/H1346_REGN3753_Fab_Fab_complex/objects/chain_A/renders/H1346_chain_A_projection.svg,casp17/targets_current/H1346_REGN3753_Fab_Fab_complex/objects/chain_A/viewer.html,casp17/targets_current/H1346_REGN3753_Fab_Fab_complex/objects/chain_A/metadata/H1346_chain_A_manifest.json,casp17/targets_current/H1346_REGN3753_Fab_Fab_complex/objects/chain_A/README.md,1113,1113,226,A,valid,
