baseline_candidate_id,source_candidate_id,lane_type,competition,target_id,target_description,source_category,prediction_tarball_url,prediction_archive_modified_at,prediction_archive_size,native_pdb_code,native_structure_file_url,native_structure_file_format,native_public_anchor_date,targetlist_url,targetlist_target_url,official_model_lane,competitive_proof_eligible,strict_blind_intake_policy,other_team_model_policy,model1_selection_policy,download_policy,baseline_folder,acquisition_manifest,baseline_candidate_status,next_action
official_archive_baseline_011,official_archive_source_011,official_archive_baseline_replay,CASP16,T1201,Q9GZX9,regular_monomer,https://predictioncenter.org/download_area/CASP16/predictions/regular/T1201.tar.gz,2024-05-23 20:08,12M,8bwd,https://files.rcsb.org/download/8BWD.pdb,pdb,2025-02-01,https://predictioncenter.org/casp16/targetlist.cgi?view_targets=all,https://predictioncenter.org/casp16/target.cgi?id=51&view=all,external_official_casp_archive_model_pool,False,do_not_import_as_internal_prediction,official_archive_models_are_baseline_only,model1_and_best_of_5_may_be_scored_only_as_external_baseline,operator_explicit_download_required_no_automatic_tarball_fetch,casp17/historical_seed_official_archive_baseline_lane/011_casp16_t1201_q9gzx9,casp17/historical_seed_official_archive_baseline_lane/011_casp16_t1201_q9gzx9/ACQUISITION_MANIFEST.md,baseline_replay_ready_for_operator_acquisition,"download/extract official archive models only inside this baseline lane, score model1 and best-of-5 as external baseline replay, and source internal pre-native predictions separately for competitive proof"
official_archive_baseline_012,official_archive_source_012,official_archive_baseline_replay,CASP16,T1206,Porcine astrovirus 4 capsid spike,regular_monomer,https://predictioncenter.org/download_area/CASP16/predictions/regular/T1206.tar.gz,2024-06-03 09:21,13M,9cp0,https://files.rcsb.org/download/9CP0.pdb,pdb,2025-02-01,https://predictioncenter.org/casp16/targetlist.cgi?view_targets=all,https://predictioncenter.org/casp16/target.cgi?id=88&view=all,external_official_casp_archive_model_pool,False,do_not_import_as_internal_prediction,official_archive_models_are_baseline_only,model1_and_best_of_5_may_be_scored_only_as_external_baseline,operator_explicit_download_required_no_automatic_tarball_fetch,casp17/historical_seed_official_archive_baseline_lane/012_casp16_t1206_porcine_astrovirus_4_capsid_spike,casp17/historical_seed_official_archive_baseline_lane/012_casp16_t1206_porcine_astrovirus_4_capsid_spike/ACQUISITION_MANIFEST.md,baseline_replay_ready_for_operator_acquisition,"download/extract official archive models only inside this baseline lane, score model1 and best-of-5 as external baseline replay, and source internal pre-native predictions separately for competitive proof"
official_archive_baseline_013,official_archive_source_013,official_archive_baseline_replay,CASP15,T1104,EntV136,regular_monomer,https://predictioncenter.org/download_area/CASP15/predictions/regular/T1104.tar.gz,2022-05-24 07:50,6.4M,7roa,https://files.rcsb.org/download/7ROA.pdb,pdb,2022-12-20,https://predictioncenter.org/casp15/targetlist.cgi?view_targets=all,https://predictioncenter.org/casp15/target.cgi?id=28&view=all,external_official_casp_archive_model_pool,False,do_not_import_as_internal_prediction,official_archive_models_are_baseline_only,model1_and_best_of_5_may_be_scored_only_as_external_baseline,operator_explicit_download_required_no_automatic_tarball_fetch,casp17/historical_seed_official_archive_baseline_lane/013_casp15_t1104_entv136,casp17/historical_seed_official_archive_baseline_lane/013_casp15_t1104_entv136/ACQUISITION_MANIFEST.md,baseline_replay_ready_for_operator_acquisition,"download/extract official archive models only inside this baseline lane, score model1 and best-of-5 as external baseline replay, and source internal pre-native predictions separately for competitive proof"
official_archive_baseline_014,official_archive_source_014,official_archive_baseline_replay,CASP15,T1120,DdrC,regular_monomer,https://predictioncenter.org/download_area/CASP15/predictions/regular/T1120.tar.gz,2022-06-07 09:30,14M,7qvb,https://files.rcsb.org/download/7QVB.pdb,pdb,2022-12-20,https://predictioncenter.org/casp15/targetlist.cgi?view_targets=all,https://predictioncenter.org/casp15/target.cgi?id=56&view=all,external_official_casp_archive_model_pool,False,do_not_import_as_internal_prediction,official_archive_models_are_baseline_only,model1_and_best_of_5_may_be_scored_only_as_external_baseline,operator_explicit_download_required_no_automatic_tarball_fetch,casp17/historical_seed_official_archive_baseline_lane/014_casp15_t1120_ddrc,casp17/historical_seed_official_archive_baseline_lane/014_casp15_t1120_ddrc/ACQUISITION_MANIFEST.md,baseline_replay_ready_for_operator_acquisition,"download/extract official archive models only inside this baseline lane, score model1 and best-of-5 as external baseline replay, and source internal pre-native predictions separately for competitive proof"
official_archive_baseline_015,official_archive_source_015,official_archive_baseline_replay,CASP15,T1122,A0A0B4VFQ3,regular_monomer,https://predictioncenter.org/download_area/CASP15/predictions/regular/T1122.tar.gz,2022-06-08 09:30,15M,8bbt,https://files.rcsb.org/download/8BBT.pdb,pdb,2022-12-20,https://predictioncenter.org/casp15/targetlist.cgi?view_targets=all,https://predictioncenter.org/casp15/target.cgi?id=58&view=all,external_official_casp_archive_model_pool,False,do_not_import_as_internal_prediction,official_archive_models_are_baseline_only,model1_and_best_of_5_may_be_scored_only_as_external_baseline,operator_explicit_download_required_no_automatic_tarball_fetch,casp17/historical_seed_official_archive_baseline_lane/015_casp15_t1122_a0a0b4vfq3,casp17/historical_seed_official_archive_baseline_lane/015_casp15_t1122_a0a0b4vfq3/ACQUISITION_MANIFEST.md,baseline_replay_ready_for_operator_acquisition,"download/extract official archive models only inside this baseline lane, score model1 and best-of-5 as external baseline replay, and source internal pre-native predictions separately for competitive proof"
official_archive_baseline_016,official_archive_source_016,official_archive_baseline_replay,CASP15,T1125,gp96RNAP,regular_monomer,https://predictioncenter.org/download_area/CASP15/predictions/regular/T1125.tar.gz,2022-06-10 09:30,66M,8h2n,https://files.rcsb.org/download/8H2N.pdb,pdb,2022-12-20,https://predictioncenter.org/casp15/targetlist.cgi?view_targets=all,https://predictioncenter.org/casp15/target.cgi?id=61&view=all,external_official_casp_archive_model_pool,False,do_not_import_as_internal_prediction,official_archive_models_are_baseline_only,model1_and_best_of_5_may_be_scored_only_as_external_baseline,operator_explicit_download_required_no_automatic_tarball_fetch,casp17/historical_seed_official_archive_baseline_lane/016_casp15_t1125_gp96rnap,casp17/historical_seed_official_archive_baseline_lane/016_casp15_t1125_gp96rnap/ACQUISITION_MANIFEST.md,baseline_replay_ready_for_operator_acquisition,"download/extract official archive models only inside this baseline lane, score model1 and best-of-5 as external baseline replay, and source internal pre-native predictions separately for competitive proof"
official_archive_baseline_017,official_archive_source_017,official_archive_baseline_replay,CASP15,T1133,Q9BY44,regular_monomer,https://predictioncenter.org/download_area/CASP15/predictions/regular/T1133.tar.gz,2022-06-16 09:30,34M,8dys,https://files.rcsb.org/download/8DYS.pdb,pdb,2022-12-20,https://predictioncenter.org/casp15/targetlist.cgi?view_targets=all,https://predictioncenter.org/casp15/target.cgi?id=74&view=all,external_official_casp_archive_model_pool,False,do_not_import_as_internal_prediction,official_archive_models_are_baseline_only,model1_and_best_of_5_may_be_scored_only_as_external_baseline,operator_explicit_download_required_no_automatic_tarball_fetch,casp17/historical_seed_official_archive_baseline_lane/017_casp15_t1133_q9by44,casp17/historical_seed_official_archive_baseline_lane/017_casp15_t1133_q9by44/ACQUISITION_MANIFEST.md,baseline_replay_ready_for_operator_acquisition,"download/extract official archive models only inside this baseline lane, score model1 and best-of-5 as external baseline replay, and source internal pre-native predictions separately for competitive proof"
official_archive_baseline_018,official_archive_source_018,official_archive_baseline_replay,CASP15,T1145,Starch binding protein,regular_monomer,https://predictioncenter.org/download_area/CASP15/predictions/regular/T1145.tar.gz,2022-06-29 09:30,37M,7uww,https://files.rcsb.org/download/7UWW.pdb,pdb,2022-12-20,https://predictioncenter.org/casp15/targetlist.cgi?view_targets=all,https://predictioncenter.org/casp15/target.cgi?id=96&view=all,external_official_casp_archive_model_pool,False,do_not_import_as_internal_prediction,official_archive_models_are_baseline_only,model1_and_best_of_5_may_be_scored_only_as_external_baseline,operator_explicit_download_required_no_automatic_tarball_fetch,casp17/historical_seed_official_archive_baseline_lane/018_casp15_t1145_starch_binding_protein,casp17/historical_seed_official_archive_baseline_lane/018_casp15_t1145_starch_binding_protein/ACQUISITION_MANIFEST.md,baseline_replay_ready_for_operator_acquisition,"download/extract official archive models only inside this baseline lane, score model1 and best-of-5 as external baseline replay, and source internal pre-native predictions separately for competitive proof"
official_archive_baseline_019,official_archive_source_019,official_archive_baseline_replay,CASP15,T1147,"KEK_05752, MmpS5",regular_monomer,https://predictioncenter.org/download_area/CASP15/predictions/regular/T1147.tar.gz,2022-07-01 09:30,5.8M,8em5,https://files.rcsb.org/download/8EM5.pdb,pdb,2022-12-20,https://predictioncenter.org/casp15/targetlist.cgi?view_targets=all,https://predictioncenter.org/casp15/target.cgi?id=102&view=all,external_official_casp_archive_model_pool,False,do_not_import_as_internal_prediction,official_archive_models_are_baseline_only,model1_and_best_of_5_may_be_scored_only_as_external_baseline,operator_explicit_download_required_no_automatic_tarball_fetch,casp17/historical_seed_official_archive_baseline_lane/019_casp15_t1147_kek_05752_mmps5,casp17/historical_seed_official_archive_baseline_lane/019_casp15_t1147_kek_05752_mmps5/ACQUISITION_MANIFEST.md,baseline_replay_ready_for_operator_acquisition,"download/extract official archive models only inside this baseline lane, score model1 and best-of-5 as external baseline replay, and source internal pre-native predictions separately for competitive proof"
official_archive_baseline_020,official_archive_source_020,official_archive_baseline_replay,CASP15,T1155,Uniprot Q8IN44,regular_monomer,https://predictioncenter.org/download_area/CASP15/predictions/regular/T1155.tar.gz,2022-07-08 09:30,7.0M,8pbv,https://files.rcsb.org/download/8PBV.pdb,pdb,2022-12-20,https://predictioncenter.org/casp15/targetlist.cgi?view_targets=all,https://predictioncenter.org/casp15/target.cgi?id=112&view=all,external_official_casp_archive_model_pool,False,do_not_import_as_internal_prediction,official_archive_models_are_baseline_only,model1_and_best_of_5_may_be_scored_only_as_external_baseline,operator_explicit_download_required_no_automatic_tarball_fetch,casp17/historical_seed_official_archive_baseline_lane/020_casp15_t1155_uniprot_q8in44,casp17/historical_seed_official_archive_baseline_lane/020_casp15_t1155_uniprot_q8in44/ACQUISITION_MANIFEST.md,baseline_replay_ready_for_operator_acquisition,"download/extract official archive models only inside this baseline lane, score model1 and best-of-5 as external baseline replay, and source internal pre-native predictions separately for competitive proof"
official_archive_baseline_021,official_archive_source_021,official_archive_baseline_replay,CASP15,T1158,MRP4,regular_monomer,https://predictioncenter.org/download_area/CASP15/predictions/regular/T1158.tar.gz,2022-07-12 09:30,76M,8sxa,https://files.rcsb.org/download/8SXA.pdb,pdb,2022-12-20,https://predictioncenter.org/casp15/targetlist.cgi?view_targets=all,https://predictioncenter.org/casp15/target.cgi?id=120&view=all,external_official_casp_archive_model_pool,False,do_not_import_as_internal_prediction,official_archive_models_are_baseline_only,model1_and_best_of_5_may_be_scored_only_as_external_baseline,operator_explicit_download_required_no_automatic_tarball_fetch,casp17/historical_seed_official_archive_baseline_lane/021_casp15_t1158_mrp4,casp17/historical_seed_official_archive_baseline_lane/021_casp15_t1158_mrp4/ACQUISITION_MANIFEST.md,baseline_replay_ready_for_operator_acquisition,"download/extract official archive models only inside this baseline lane, score model1 and best-of-5 as external baseline replay, and source internal pre-native predictions separately for competitive proof"
official_archive_baseline_022,official_archive_source_022,official_archive_baseline_replay,CASP15,T1159,TecA tgat,regular_monomer,https://predictioncenter.org/download_area/CASP15/predictions/regular/T1159.tar.gz,2022-07-12 09:30,9.3M,7pzt,https://files.rcsb.org/download/7PZT.pdb,pdb,2022-12-20,https://predictioncenter.org/casp15/targetlist.cgi?view_targets=all,https://predictioncenter.org/casp15/target.cgi?id=119&view=all,external_official_casp_archive_model_pool,False,do_not_import_as_internal_prediction,official_archive_models_are_baseline_only,model1_and_best_of_5_may_be_scored_only_as_external_baseline,operator_explicit_download_required_no_automatic_tarball_fetch,casp17/historical_seed_official_archive_baseline_lane/022_casp15_t1159_teca_tgat,casp17/historical_seed_official_archive_baseline_lane/022_casp15_t1159_teca_tgat/ACQUISITION_MANIFEST.md,baseline_replay_ready_for_operator_acquisition,"download/extract official archive models only inside this baseline lane, score model1 and best-of-5 as external baseline replay, and source internal pre-native predictions separately for competitive proof"
official_archive_baseline_023,official_archive_source_023,official_archive_baseline_replay,CASP15,T1169,Q16U82,regular_monomer,https://predictioncenter.org/download_area/CASP15/predictions/regular/T1169.tar.gz,2022-08-02 09:30,167M,8fjp,https://files.rcsb.org/download/8FJP.pdb,pdb,2022-12-20,https://predictioncenter.org/casp15/targetlist.cgi?view_targets=all,https://predictioncenter.org/casp15/target.cgi?id=134&view=all,external_official_casp_archive_model_pool,False,do_not_import_as_internal_prediction,official_archive_models_are_baseline_only,model1_and_best_of_5_may_be_scored_only_as_external_baseline,operator_explicit_download_required_no_automatic_tarball_fetch,casp17/historical_seed_official_archive_baseline_lane/023_casp15_t1169_q16u82,casp17/historical_seed_official_archive_baseline_lane/023_casp15_t1169_q16u82/ACQUISITION_MANIFEST.md,baseline_replay_ready_for_operator_acquisition,"download/extract official archive models only inside this baseline lane, score model1 and best-of-5 as external baseline replay, and source internal pre-native predictions separately for competitive proof"
official_archive_baseline_024,official_archive_source_024,official_archive_baseline_replay,CASP15,T1183,TsaB,regular_monomer,https://predictioncenter.org/download_area/CASP15/predictions/regular/T1183.tar.gz,2022-08-06 09:30,12M,8ifx,https://files.rcsb.org/download/8IFX.pdb,pdb,2022-12-20,https://predictioncenter.org/casp15/targetlist.cgi?view_targets=all,https://predictioncenter.org/casp15/target.cgi?id=153&view=all,external_official_casp_archive_model_pool,False,do_not_import_as_internal_prediction,official_archive_models_are_baseline_only,model1_and_best_of_5_may_be_scored_only_as_external_baseline,operator_explicit_download_required_no_automatic_tarball_fetch,casp17/historical_seed_official_archive_baseline_lane/024_casp15_t1183_tsab,casp17/historical_seed_official_archive_baseline_lane/024_casp15_t1183_tsab/ACQUISITION_MANIFEST.md,baseline_replay_ready_for_operator_acquisition,"download/extract official archive models only inside this baseline lane, score model1 and best-of-5 as external baseline replay, and source internal pre-native predictions separately for competitive proof"
