row_kind,lock_status,target_id,queue_rank,folder_path,source_surface_id,manifest_status,operator_value_count,operator_value_fields,first_operator_value_field,blockers,next_action
stale_generated_folder,stale_folder_readonly_no_operator_values,T1342,0,casp17/current_upload_operator_decision_kit/02_t1342,current_upload_operator_decision_kit,stale_not_active_manifest,0,,,,keep stale folder read-only or clean it up only after operator approval
stale_generated_folder,stale_folder_readonly_no_operator_values,H1344,0,casp17/current_upload_operator_decision_kit/03_h1344,current_upload_operator_decision_kit,stale_not_active_manifest,0,,,,keep stale folder read-only or clean it up only after operator approval
stale_generated_folder,stale_folder_readonly_no_operator_values,H2321,0,casp17/current_upload_operator_decision_kit/04_h2321,current_upload_operator_decision_kit,stale_not_active_manifest,0,,,,keep stale folder read-only or clean it up only after operator approval
stale_generated_folder,stale_folder_readonly_no_operator_values,H1346,0,casp17/current_upload_operator_decision_kit/05_h1346,current_upload_operator_decision_kit,stale_not_active_manifest,0,,,,keep stale folder read-only or clean it up only after operator approval
stale_generated_folder,stale_folder_readonly_no_operator_values,H1347,0,casp17/current_upload_operator_decision_kit/06_h1347,current_upload_operator_decision_kit,stale_not_active_manifest,0,,,,keep stale folder read-only or clean it up only after operator approval
stale_generated_folder,stale_folder_readonly_no_operator_values,H1348,0,casp17/current_upload_operator_decision_kit/07_h1348,current_upload_operator_decision_kit,stale_not_active_manifest,0,,,,keep stale folder read-only or clean it up only after operator approval
stale_generated_folder,stale_folder_readonly_no_operator_values,H1349,0,casp17/current_upload_operator_decision_kit/08_h1349,current_upload_operator_decision_kit,stale_not_active_manifest,0,,,,keep stale folder read-only or clean it up only after operator approval
stale_generated_folder,stale_folder_readonly_no_operator_values,H1354,0,casp17/current_upload_operator_decision_kit/09_h1354,current_upload_operator_decision_kit,stale_not_active_manifest,0,,,,keep stale folder read-only or clean it up only after operator approval
stale_generated_folder,stale_folder_readonly_no_operator_values,H1355,0,casp17/current_upload_operator_decision_kit/10_h1355,current_upload_operator_decision_kit,stale_not_active_manifest,0,,,,keep stale folder read-only or clean it up only after operator approval
stale_generated_folder,stale_folder_readonly_no_operator_values,,0,casp17/current_post_native_scoring_scaffold/01_h2319,current_post_native_scoring_scaffold,stale_not_active_manifest,0,,,,keep stale folder read-only or clean it up only after operator approval
stale_generated_folder,stale_folder_readonly_no_operator_values,,0,casp17/current_post_native_scoring_scaffold/02_t1342,current_post_native_scoring_scaffold,stale_not_active_manifest,0,,,,keep stale folder read-only or clean it up only after operator approval
stale_generated_folder,stale_folder_readonly_no_operator_values,,0,casp17/current_post_native_scoring_scaffold/03_h1344,current_post_native_scoring_scaffold,stale_not_active_manifest,0,,,,keep stale folder read-only or clean it up only after operator approval
stale_generated_folder,stale_folder_readonly_no_operator_values,,0,casp17/current_post_native_scoring_scaffold/04_h2321,current_post_native_scoring_scaffold,stale_not_active_manifest,0,,,,keep stale folder read-only or clean it up only after operator approval
stale_generated_folder,stale_folder_readonly_no_operator_values,,0,casp17/current_post_native_scoring_scaffold/05_h1346,current_post_native_scoring_scaffold,stale_not_active_manifest,0,,,,keep stale folder read-only or clean it up only after operator approval
stale_generated_folder,stale_folder_readonly_no_operator_values,,0,casp17/current_post_native_scoring_scaffold/06_h1347,current_post_native_scoring_scaffold,stale_not_active_manifest,0,,,,keep stale folder read-only or clean it up only after operator approval
stale_generated_folder,stale_folder_readonly_no_operator_values,,0,casp17/current_post_native_scoring_scaffold/07_h1348,current_post_native_scoring_scaffold,stale_not_active_manifest,0,,,,keep stale folder read-only or clean it up only after operator approval
stale_generated_folder,stale_folder_readonly_no_operator_values,,0,casp17/current_post_native_scoring_scaffold/08_h1349,current_post_native_scoring_scaffold,stale_not_active_manifest,0,,,,keep stale folder read-only or clean it up only after operator approval
stale_generated_folder,stale_folder_readonly_no_operator_values,,0,casp17/current_post_native_scoring_scaffold/09_h1354,current_post_native_scoring_scaffold,stale_not_active_manifest,0,,,,keep stale folder read-only or clean it up only after operator approval
stale_generated_folder,stale_folder_readonly_no_operator_values,,0,casp17/current_post_native_scoring_scaffold/10_h1355,current_post_native_scoring_scaffold,stale_not_active_manifest,0,,,,keep stale folder read-only or clean it up only after operator approval
stale_generated_folder,stale_folder_readonly_no_operator_values,,0,casp17/current_post_native_scoring_scaffold/11_h1335,current_post_native_scoring_scaffold,stale_not_active_manifest,0,,,,keep stale folder read-only or clean it up only after operator approval
stale_generated_folder,stale_folder_readonly_no_operator_values,,0,casp17/current_post_native_scoring_scaffold/12_h1340,current_post_native_scoring_scaffold,stale_not_active_manifest,0,,,,keep stale folder read-only or clean it up only after operator approval
stale_generated_folder,stale_folder_readonly_no_operator_values,,0,casp17/current_post_native_scoring_scaffold/13_h1343,current_post_native_scoring_scaffold,stale_not_active_manifest,0,,,,keep stale folder read-only or clean it up only after operator approval
stale_generated_folder,stale_folder_readonly_no_operator_values,,0,casp17/current_post_native_scoring_scaffold/14_h2312,current_post_native_scoring_scaffold,stale_not_active_manifest,0,,,,keep stale folder read-only or clean it up only after operator approval
stale_generated_folder,stale_folder_readonly_no_operator_values,,0,casp17/current_post_native_scoring_scaffold/15_h2332,current_post_native_scoring_scaffold,stale_not_active_manifest,0,,,,keep stale folder read-only or clean it up only after operator approval
stale_generated_folder,stale_folder_readonly_no_operator_values,,0,casp17/current_post_native_scoring_scaffold/16_h2338,current_post_native_scoring_scaffold,stale_not_active_manifest,0,,,,keep stale folder read-only or clean it up only after operator approval
stale_generated_folder,stale_folder_readonly_no_operator_values,,0,casp17/current_post_native_scoring_scaffold/17_h2339,current_post_native_scoring_scaffold,stale_not_active_manifest,0,,,,keep stale folder read-only or clean it up only after operator approval
stale_generated_folder,stale_folder_readonly_no_operator_values,,0,casp17/current_post_native_scoring_scaffold/18_t1331,current_post_native_scoring_scaffold,stale_not_active_manifest,0,,,,keep stale folder read-only or clean it up only after operator approval
