model_rank,model_id,target_id,group_id,model_number,pool_role,source_member,extracted_pdb,size_bytes,sha256_16,atom_count,ca_count,residue_count,chain_count,model1_candidate,top5_candidate,extra_model_candidate,model_status,blockers,claim_boundary,rule_id
21,T1212TS022_4,T1212,022,4,top5,T1212/T1212TS022_4,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS022_4.pdb,309064,471db43a23beaa24,3815,466,466,1,False,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
22,T1212TS022_5,T1212,022,5,top5,T1212/T1212TS022_5,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS022_5.pdb,309060,50ae96fd83a152cc,3814,466,466,1,False,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
23,T1212TS028_1,T1212,028,1,model1,T1212/T1212TS028_1,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS028_1.pdb,309069,9424fc70d8a6524b,3815,466,466,1,True,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
24,T1212TS031_1,T1212,031,1,model1,T1212/T1212TS031_1,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS031_1.pdb,309068,c5a88c24661f2c04,3814,466,466,1,True,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
25,T1212TS031_2,T1212,031,2,top5,T1212/T1212TS031_2,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS031_2.pdb,309068,72307db2bbded238,3814,466,466,1,False,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
26,T1212TS031_3,T1212,031,3,top5,T1212/T1212TS031_3,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS031_3.pdb,309068,33c939c5f99f38aa,3814,466,466,1,False,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
27,T1212TS031_4,T1212,031,4,top5,T1212/T1212TS031_4,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS031_4.pdb,309068,d2be43c182f14bf5,3814,466,466,1,False,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
28,T1212TS031_5,T1212,031,5,top5,T1212/T1212TS031_5,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS031_5.pdb,309068,8c11d5f73bde1608,3814,466,466,1,False,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
29,T1212TS033_1,T1212,033,1,model1,T1212/T1212TS033_1,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS033_1.pdb,309110,d74a845e26f30e2d,3814,466,466,1,True,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
30,T1212TS033_2,T1212,033,2,top5,T1212/T1212TS033_2,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS033_2.pdb,309109,49659f3607af49bc,3814,466,466,1,False,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
31,T1212TS033_3,T1212,033,3,top5,T1212/T1212TS033_3,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS033_3.pdb,309109,5182ccb4ac2cbe0a,3814,466,466,1,False,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
32,T1212TS033_4,T1212,033,4,top5,T1212/T1212TS033_4,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS033_4.pdb,309109,139f491ae336f6fe,3814,466,466,1,False,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
33,T1212TS033_5,T1212,033,5,top5,T1212/T1212TS033_5,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS033_5.pdb,309109,1641461f62a54b7e,3814,466,466,1,False,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
34,T1212TS040_1,T1212,040,1,model1,T1212/T1212TS040_1,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS040_1.pdb,309084,58192a01fb60a460,3815,466,466,1,True,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
35,T1212TS040_2,T1212,040,2,top5,T1212/T1212TS040_2,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS040_2.pdb,309084,e3e3ff25958c9d6f,3815,466,466,1,False,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
36,T1212TS040_3,T1212,040,3,top5,T1212/T1212TS040_3,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS040_3.pdb,309084,28a8952ae15b3d1e,3815,466,466,1,False,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
37,T1212TS040_4,T1212,040,4,top5,T1212/T1212TS040_4,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS040_4.pdb,309084,029370f257b42710,3815,466,466,1,False,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
38,T1212TS040_5,T1212,040,5,top5,T1212/T1212TS040_5,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS040_5.pdb,309084,c1fcc10943245838,3815,466,466,1,False,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
39,T1212TS044_1,T1212,044,1,model1,T1212/T1212TS044_1,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS044_1.pdb,309144,357a138b10d457e1,3815,466,466,1,True,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
40,T1212TS044_3,T1212,044,3,top5,T1212/T1212TS044_3,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS044_3.pdb,309144,246e307a16b76934,3815,466,466,1,False,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
41,T1212TS051_1,T1212,051,1,model1,T1212/T1212TS051_1,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS051_1.pdb,309065,5336bfd028a36d8f,3815,466,466,1,True,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
42,T1212TS051_2,T1212,051,2,top5,T1212/T1212TS051_2,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS051_2.pdb,309065,a355506bee3fb88f,3815,466,466,1,False,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
43,T1212TS051_3,T1212,051,3,top5,T1212/T1212TS051_3,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS051_3.pdb,309065,ce1c27b81ff27c59,3815,466,466,1,False,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
44,T1212TS051_4,T1212,051,4,top5,T1212/T1212TS051_4,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS051_4.pdb,309065,973b0ae02ca6d0fb,3815,466,466,1,False,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
45,T1212TS051_5,T1212,051,5,top5,T1212/T1212TS051_5,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS051_5.pdb,309065,b6f2d0f5ea5dd2f7,3815,466,466,1,False,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
47,T1212TS052_1,T1212,052,1,model1,T1212/T1212TS052_1,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS052_1.pdb,309068,603a93eb726d6aa3,3815,466,466,1,True,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
48,T1212TS052_2,T1212,052,2,top5,T1212/T1212TS052_2,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS052_2.pdb,309073,91d5d0acd05184d7,3815,466,466,1,False,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
49,T1212TS052_3,T1212,052,3,top5,T1212/T1212TS052_3,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS052_3.pdb,309073,7019034a57e1d04e,3815,466,466,1,False,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
50,T1212TS052_4,T1212,052,4,top5,T1212/T1212TS052_4,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS052_4.pdb,309073,f44f25f8dfb8e82b,3815,466,466,1,False,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
51,T1212TS052_5,T1212,052,5,top5,T1212/T1212TS052_5,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS052_5.pdb,309060,4ed8e42df0344535,3814,466,466,1,False,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
52,T1212TS059_1,T1212,059,1,model1,T1212/T1212TS059_1,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS059_1.pdb,308985,5dbc04e27d5d5787,3814,466,466,1,True,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
53,T1212TS059_2,T1212,059,2,top5,T1212/T1212TS059_2,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS059_2.pdb,308985,76cec07f48b96aa8,3814,466,466,1,False,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
54,T1212TS059_3,T1212,059,3,top5,T1212/T1212TS059_3,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS059_3.pdb,308985,58370b8a8ec3401d,3814,466,466,1,False,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
55,T1212TS059_4,T1212,059,4,top5,T1212/T1212TS059_4,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS059_4.pdb,308985,5bb6739d83496321,3814,466,466,1,False,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
56,T1212TS059_5,T1212,059,5,top5,T1212/T1212TS059_5,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS059_5.pdb,308985,a94611d5894811ec,3814,466,466,1,False,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
58,T1212TS075_1,T1212,075,1,model1,T1212/T1212TS075_1,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS075_1.pdb,309154,20585a2bd4d37d90,3815,466,466,1,True,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
59,T1212TS075_2,T1212,075,2,top5,T1212/T1212TS075_2,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS075_2.pdb,309073,699b20b14594c27d,3814,466,466,1,False,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
60,T1212TS075_3,T1212,075,3,top5,T1212/T1212TS075_3,casp17/official_archive_first_baseline_model_pool/extracted_models/T1212/all_models/T1212TS075_3.pdb,309154,10f5ce14c4f58a84,3815,466,466,1,False,True,False,model_ready,,"Local CASP17 official-archive first baseline model-pool extraction only. It extracts external CASP archive submissions into a baseline replay folder and builds model1/top5 manifests. It does not import official archive models as internal predictions, fill strict-blind operator values, compute native accuracy, push remotes, or submit to CASP.",official_archive_first_baseline_model_pool_v1
