group_rank,target_id,group_id,group_status,model1_model_id,model1_metric_status,model1_gdt_ts_proxy,model1_gdt_ha_proxy,model1_ca_lddt_proxy,model1_tm_score_proxy,model1_ca_rmsd_angstrom,best_top5_model_id,best_top5_model_number,best_top5_metric_status,best_top5_gdt_ts_proxy,best_top5_gdt_ha_proxy,best_top5_ca_lddt_proxy,best_top5_tm_score_proxy,best_top5_ca_rmsd_angstrom,best_minus_model1_gdt_ts_proxy,top5_model_count,top5_ready_count,complete_top5_group,blockers,claim_boundary,rule_id
12,T1212,059,group_score_ready,T1212TS059_1,metric_ready,2.092,0.590,0.006,0.110,21.908,T1212TS059_3,3,metric_ready,2.790,0.536,0.005,0.148,18.511,0.698,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
13,T1212,075,group_score_ready,T1212TS075_1,metric_ready,1.502,0.322,0.003,0.055,32.100,T1212TS075_4,4,metric_ready,8.745,2.414,0.024,0.277,12.463,7.243,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
14,T1212,079,group_score_ready,T1212TS079_1,metric_ready,2.468,0.751,0.008,0.127,20.168,T1212TS079_3,3,metric_ready,4.614,1.234,0.012,0.196,15.612,2.146,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
15,T1212,110,group_score_ready,T1212TS110_1,metric_ready,1.073,0.215,0.002,0.044,35.874,T1212TS110_1,1,metric_ready,1.073,0.215,0.002,0.044,35.874,0.000,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
16,T1212,112,group_score_ready,T1212TS112_1,metric_ready,0.966,0.215,0.002,0.052,33.080,T1212TS112_1,1,metric_ready,0.966,0.215,0.002,0.052,33.080,0.000,1,1,False,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
17,T1212,120,group_score_ready,T1212TS120_1,metric_ready,0.858,0.107,0.001,0.050,33.488,T1212TS120_4,4,metric_ready,3.004,0.483,0.005,0.108,22.146,2.146,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
18,T1212,122,group_score_ready,T1212TS122_1,metric_ready,2.307,0.697,0.007,0.072,27.751,T1212TS122_1,1,metric_ready,2.307,0.697,0.007,0.072,27.751,0.000,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
19,T1212,132,group_score_ready,T1212TS132_1,metric_ready,0.966,0.054,0.001,0.065,29.290,T1212TS132_1,1,metric_ready,0.966,0.054,0.001,0.065,29.290,0.000,1,1,False,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
20,T1212,139,group_score_ready,T1212TS139_1,metric_ready,16.202,3.809,0.038,0.446,8.599,T1212TS139_2,2,metric_ready,29.936,8.959,0.090,0.625,5.973,13.734,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
21,T1212,143,group_score_ready,T1212TS143_1,metric_ready,1.556,0.429,0.004,0.044,35.858,T1212TS143_2,2,metric_ready,1.663,0.429,0.004,0.044,35.903,0.107,3,3,False,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
22,T1212,145,group_score_ready,T1212TS145_1,metric_ready,5.311,1.019,0.010,0.216,14.667,T1212TS145_1,1,metric_ready,5.311,1.019,0.010,0.216,14.667,0.000,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
23,T1212,147,group_score_ready,T1212TS147_1,metric_ready,1.717,0.376,0.004,0.064,29.430,T1212TS147_1,1,metric_ready,1.717,0.376,0.004,0.064,29.430,0.000,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
24,T1212,148,group_score_ready,T1212TS148_1,metric_ready,0.000,0.000,0.000,0.026,47.029,T1212TS148_3,3,metric_ready,2.736,0.697,0.007,0.125,20.392,2.736,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
25,T1212,159,group_score_ready,T1212TS159_1,metric_ready,0.054,0.000,0.000,0.029,44.613,T1212TS159_2,2,metric_ready,2.307,0.536,0.005,0.083,25.562,2.253,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
26,T1212,163,group_score_ready,T1212TS163_1,metric_ready,0.268,0.054,0.001,0.028,45.660,T1212TS163_4,4,metric_ready,78.648,55.258,0.553,0.953,1.720,78.380,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
27,T1212,164,group_score_ready,T1212TS164_1,metric_ready,72.639,48.230,0.482,0.937,2.002,T1212TS164_4,4,metric_ready,78.702,55.204,0.552,0.953,1.719,6.063,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
28,T1212,167,group_score_ready,T1212TS167_1,metric_ready,9.067,1.663,0.017,0.182,16.364,T1212TS167_1,1,metric_ready,9.067,1.663,0.017,0.182,16.364,0.000,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
29,T1212,196,group_score_ready,T1212TS196_1,metric_ready,0.000,0.000,0.000,0.027,46.627,T1212TS196_2,2,metric_ready,0.161,0.000,0.000,0.025,47.867,0.161,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
30,T1212,198,group_score_ready,T1212TS198_1,metric_ready,3.219,0.697,0.007,0.134,19.568,T1212TS198_1,1,metric_ready,3.219,0.697,0.007,0.134,19.568,0.000,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
31,T1212,208,group_score_ready,T1212TS208_1,metric_ready,3.648,0.966,0.010,0.122,20.658,T1212TS208_5,5,metric_ready,18.616,3.541,0.035,0.474,8.129,14.968,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
32,T1212,212,group_score_ready,T1212TS212_1,metric_ready,0.483,0.000,0.000,0.026,46.912,T1212TS212_1,1,metric_ready,0.483,0.000,0.000,0.026,46.912,0.000,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
33,T1212,221,group_score_ready,T1212TS221_1,metric_ready,0.000,0.000,0.000,0.025,48.200,T1212TS221_4,4,metric_ready,38.895,15.236,0.152,0.711,4.915,38.895,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
34,T1212,231,group_score_ready,T1212TS231_1,metric_ready,72.157,47.908,0.479,0.934,2.056,T1212TS231_1,1,metric_ready,72.157,47.908,0.479,0.934,2.056,0.000,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
35,T1212,235,group_score_ready,T1212TS235_1,metric_ready,2.039,0.429,0.004,0.059,30.757,T1212TS235_2,2,metric_ready,3.219,0.697,0.007,0.163,17.474,1.180,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
36,T1212,241,group_score_ready,T1212TS241_1,metric_ready,0.376,0.000,0.000,0.077,26.626,T1212TS241_2,2,metric_ready,2.736,0.536,0.005,0.160,17.652,2.360,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
37,T1212,261,group_score_ready,T1212TS261_1,metric_ready,22.264,6.760,0.068,0.516,7.460,T1212TS261_4,4,metric_ready,45.118,20.279,0.203,0.803,3.823,22.854,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
38,T1212,262,group_score_ready,T1212TS262_1,metric_ready,4.077,1.019,0.010,0.163,17.479,T1212TS262_5,5,metric_ready,57.940,33.155,0.332,0.890,2.716,53.863,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
39,T1212,264,group_score_ready,T1212TS264_1,metric_ready,0.000,0.000,0.000,0.026,47.029,T1212TS264_3,3,metric_ready,2.414,0.536,0.005,0.089,24.595,2.414,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
40,T1212,267,group_score_ready,T1212TS267_1,metric_ready,0.215,0.000,0.000,0.028,45.298,T1212TS267_1,1,metric_ready,0.215,0.000,0.000,0.028,45.298,0.000,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
41,T1212,269,group_score_ready,T1212TS269_1,metric_ready,0.697,0.054,0.001,0.050,33.501,T1212TS269_4,4,metric_ready,40.182,16.685,0.167,0.722,4.787,39.485,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
42,T1212,272,group_score_ready,T1212TS272_1,metric_ready,0.805,0.215,0.002,0.034,41.146,T1212TS272_5,5,metric_ready,1.073,0.322,0.003,0.034,41.146,0.268,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
43,T1212,284,group_score_ready,T1212TS284_1,metric_ready,1.502,0.322,0.003,0.055,32.100,T1212TS284_2,2,metric_ready,8.959,2.039,0.020,0.317,11.327,7.457,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
44,T1212,286,group_score_ready,T1212TS286_1,metric_ready,0.751,0.161,0.002,0.036,39.625,T1212TS286_2,2,metric_ready,62.393,37.768,0.378,0.896,2.631,61.642,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
45,T1212,287,group_score_ready,T1212TS287_1,metric_ready,0.805,0.107,0.001,0.040,37.961,T1212TS287_3,3,metric_ready,2.521,0.322,0.003,0.140,19.098,1.716,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
46,T1212,293,group_score_ready,T1212TS293_1,metric_ready,0.376,0.054,0.001,0.031,42.865,T1212TS293_3,3,metric_ready,2.468,0.751,0.008,0.127,20.168,2.092,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
47,T1212,294,group_score_ready,T1212TS294_1,metric_ready,7.135,2.039,0.020,0.249,13.388,T1212TS294_1,1,metric_ready,7.135,2.039,0.020,0.249,13.388,0.000,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
48,T1212,298,group_score_ready,T1212TS298_1,metric_ready,0.966,0.376,0.004,0.032,42.706,T1212TS298_1,1,metric_ready,0.966,0.376,0.004,0.032,42.706,0.000,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
49,T1212,301,group_score_ready,T1212TS301_1,metric_ready,1.502,0.322,0.003,0.055,32.100,T1212TS301_4,4,metric_ready,8.745,2.414,0.024,0.277,12.463,7.243,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
50,T1212,304,group_score_ready,T1212TS304_1,metric_ready,3.004,0.322,0.003,0.202,15.309,T1212TS304_3,3,metric_ready,74.142,50.215,0.502,0.943,1.891,71.138,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
51,T1212,311,group_score_ready,T1212TS311_1,metric_ready,7.457,1.770,0.018,0.284,12.252,T1212TS311_2,2,metric_ready,16.202,4.399,0.044,0.429,8.900,8.745,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
52,T1212,312,group_score_ready,T1212TS312_1,metric_ready,0.000,0.000,0.000,0.026,47.029,T1212TS312_3,3,metric_ready,27.092,6.599,0.066,0.598,6.314,27.092,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
53,T1212,314,group_score_ready,T1212TS314_1,metric_ready,27.092,6.599,0.066,0.598,6.314,T1212TS314_1,1,metric_ready,27.092,6.599,0.066,0.598,6.314,0.000,4,4,False,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
54,T1212,319,group_score_ready,T1212TS319_1,metric_ready,0.966,0.215,0.002,0.033,41.760,T1212TS319_4,4,metric_ready,5.365,1.180,0.012,0.204,15.221,4.399,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
55,T1212,325,group_score_ready,T1212TS325_1,metric_ready,43.616,19.582,0.196,0.756,4.375,T1212TS325_1,1,metric_ready,43.616,19.582,0.196,0.756,4.375,0.000,5,5,True,,"Local CASP17 official-archive first baseline score ledger only. It scores external CASP archive model1/top5 rows against a local native PDB with deterministic CA proxy metrics for historical replay calibration. It is not an official CASP assessment, does not import official archive models as internal predictions, does not fill strict-blind operator values, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_score_ledger_v1
